depth,measured,predicted
4025.8,0.436,0.39778784
4025.8999,0.418,0.3598542
4026.0,0.42,0.39777884
4026.1001,0.433,0.4342393
4026.2,0.46,0.4601353
4026.7,0.602,0.5806453
4026.8,0.631,0.6359509
4026.8999,0.63,0.56793916
4027.0,0.58,0.4937304
4027.1001,0.502,0.46773818
4027.2,0.434,0.41488507
4027.3,0.394,0.36294195
4027.3999,0.383,0.35538545
4027.5,0.39,0.3663165
4027.6001,0.398,0.3756233
4027.7,0.398,0.36608687
4027.8,0.393,0.39590937
4027.8999,0.393,0.39134204
4028.0,0.401,0.37315127
4028.1001,0.418,0.37329027
4028.2,0.435,0.3941092
4028.3,0.448,0.43393448
4028.3999,0.453,0.46282634
4028.5,0.449,0.47073126
4028.6001,0.438,0.44600883
4028.7,0.423,0.40347862
4028.8,0.416,0.3823553
4028.8999,0.422,0.38568723
4029.0,0.443,0.40901417
4029.1001,0.466,0.41662917
4029.2,0.469,0.3995462
4029.3,0.443,0.41092056
4029.3999,0.397,0.37748727
4029.5,0.354,0.34613648
4029.6001,0.326,0.32359773
4029.7,0.32,0.3200959
4029.8,0.336,0.3321353
4029.8999,0.365,0.35306674
4030.0,0.397,0.37717155
4030.1001,0.418,0.40010858
4030.2,0.42,0.41171786
4030.3,0.406,0.3946012
4030.3999,0.387,0.37834096
4030.5,0.374,0.3739947
4030.6001,0.374,0.37209833
4030.7,0.382,0.37179217
4030.8,0.389,0.36912692
4030.8999,0.39,0.36940867
4031.0,0.389,0.3695172
4031.1001,0.389,0.374508
4031.2,0.394,0.38566843
4031.3,0.403,0.39692748
4031.3999,0.412,0.39790314
4031.5,0.42,0.39839634
4031.6001,0.417,0.4021072
4031.7,0.388,0.395714
4031.8,0.339,0.36346182
4031.8999,0.286,0.3150702
4032.0,0.228,0.2502947
4032.1001,0.167,0.1887122
4032.2,0.128,0.14787637
4032.3,0.139,0.14765416
4032.3999,0.196,0.19555038
4032.5,0.282,0.2682538
4032.6001,0.351,0.34742457
4032.7,0.354,0.3563462
4032.8,0.3,0.31262267
4032.8999,0.242,0.24727805
4033.0,0.207,0.2125968
4033.1001,0.188,0.18872467
4033.2,0.179,0.18072626
4033.3,0.176,0.17506161
4033.3999,0.174,0.17479521
4033.5,0.167,0.1654278
4033.6001,0.157,0.1556189
4033.7,0.149,0.15115035
4033.8,0.149,0.14883709
4033.8999,0.156,0.14943765
4034.0,0.164,0.15707788
4034.1001,0.166,0.16317238
4034.2,0.157,0.1556134
4034.3,0.142,0.13343906
4034.3999,0.128,0.11639042
4034.5,0.118,0.10370243
4034.6001,0.113,0.105240524
4034.7,0.109,0.09744925
4034.8,0.107,0.10539996
4034.8999,0.108,0.09924618
4035.0,0.113,0.11400837
4035.1001,0.122,0.13187388
4035.2,0.13,0.14331672
4035.3,0.136,0.1478542
4035.3999,0.138,0.15166645
4035.5,0.131,0.14943765
4035.6001,0.115,0.13712507
4035.7,0.096,0.107445665
4035.8,0.083,0.08852649
4035.8999,0.084,0.09685075
4036.0,0.096,0.10872354
4036.1001,0.115,0.13632585
4036.2,0.13,0.14788458
4036.3,0.139,0.15491846
4036.3999,0.146,0.15626214
4036.5,0.154,0.15873235
4036.6001,0.158,0.15604797
4036.7,0.158,0.1463049
4036.8,0.161,0.14269538
4036.8999,0.176,0.15793781
4037.0,0.202,0.18137138
4037.1001,0.233,0.21207508
4037.2,0.253,0.23330419
4037.3,0.257,0.23952265
4037.3999,0.251,0.23769587
4037.5,0.244,0.22806962
4037.6001,0.236,0.2250222
4037.7,0.225,0.20863704
4037.8,0.21,0.19896176
4037.8999,0.197,0.1920819
4038.0,0.19,0.18961605
4038.1001,0.19,0.1904627
4038.2,0.195,0.19984967
4038.3,0.202,0.20441423
4038.3999,0.212,0.21497963
4038.5,0.224,0.23096496
4038.6001,0.234,0.24408002
4038.7,0.239,0.25179082
4038.8,0.238,0.2466118
4038.8999,0.23,0.23671184
4039.0,0.213,0.21847494
4039.1001,0.194,0.19738717
4039.2,0.179,0.17878856
4039.3,0.176,0.16858354
4039.3999,0.184,0.17260553
4039.5,0.196,0.18287583
4039.6001,0.206,0.195193
4039.7,0.211,0.20517083
4039.8,0.211,0.21165092
4039.8999,0.205,0.2084777
4040.0,0.196,0.19525653
4040.1001,0.191,0.19313823
4040.2,0.198,0.20136249
4040.3,0.221,0.2198757
4040.3999,0.248,0.25937253
4040.5,0.267,0.27082175
4040.6001,0.266,0.275036
4040.7,0.252,0.26057264
4040.8,0.238,0.24138083
4040.8999,0.232,0.23238683
4041.0,0.232,0.22980565
4041.1001,0.235,0.24128346
4041.2,0.238,0.24592067
4041.3,0.242,0.2354464
4041.3999,0.247,0.26946568
4041.5,0.254,0.2841052
4041.6001,0.262,0.2920251
4041.7,0.267,0.2943622
4041.8,0.265,0.28932884
4041.8999,0.258,0.29007974
4042.0,0.253,0.27617267
4042.1001,0.251,0.25403926
4042.2,0.252,0.2494588
4042.3,0.251,0.24628669
4042.3999,0.247,0.2368646
4042.5,0.244,0.23365887
4042.6001,0.25,0.2541236
4042.7,0.265,0.26937187
4042.8,0.279,0.28557575
4042.8999,0.279,0.29182783
4043.0,0.264,0.26955953
4043.1001,0.244,0.24851216
4043.2,0.229,0.23312837
4043.3,0.222,0.21972388
4043.3999,0.223,0.22626556
4043.5,0.228,0.22874644
4043.6001,0.235,0.23738608
4043.7,0.243,0.251382
4043.8,0.249,0.26168212
4043.8999,0.251,0.2648319
4044.0,0.25,0.26687148
4044.1001,0.25,0.26299796
4044.2,0.259,0.271527
4044.3,0.282,0.28830224
4044.3999,0.3,0.30854714
4044.5,0.277,0.30104062
4044.6001,0.212,0.22891608
4044.7,0.144,0.16028516
4044.8,0.114,0.11641651
4044.8999,0.121,0.122127995
4045.0,0.153,0.15165766
4045.1001,0.193,0.19144316
4045.2,0.24,0.23874389
4045.3,0.288,0.29277262
4045.3999,0.299,0.31750974
4045.5,0.252,0.26777402
4045.6001,0.179,0.19329014
4045.7,0.132,0.14744076
4045.8,0.133,0.1396264
4045.8999,0.165,0.1596195
4046.0,0.2,0.19874397
4046.1001,0.218,0.22214054
4046.2,0.223,0.22867878
4046.3,0.22,0.2275348
4046.3999,0.21,0.22318296
4046.5,0.191,0.20378639
4046.6001,0.168,0.18351449
4046.7,0.152,0.17088296
4046.8,0.151,0.16664991
4046.8999,0.166,0.1735405
4047.0,0.192,0.18543793
4047.1001,0.214,0.2144786
4047.2,0.228,0.22633019
4047.3,0.234,0.23207748
4047.3999,0.237,0.23129487
4047.5,0.24,0.23512536
4047.6001,0.244,0.24540748
4047.7,0.248,0.25105566
4047.8,0.251,0.25372687
4047.8999,0.25,0.2500765
4048.0,0.249,0.24709071
4048.1001,0.251,0.25139216
4048.2,0.256,0.25489047
4048.3,0.261,0.2620347
4048.3999,0.261,0.25236845
4048.5,0.255,0.23953062
4048.6001,0.249,0.241837
4048.7,0.249,0.2424127
4048.8,0.252,0.25066766
4048.8999,0.254,0.25573865
4049.0,0.258,0.2596704
4049.1001,0.263,0.2648111
4049.2,0.268,0.26435313
4049.3,0.266,0.2637377
4049.3999,0.259,0.2616379
4049.5,0.258,0.26142076
4049.6001,0.285,0.27056423
4049.7,0.32,0.30170447
4049.8,0.362,0.35559213
4049.8999,0.361,0.35159683
4050.0,0.326,0.34178767
4050.1001,0.279,0.2838338
4050.2,0.249,0.2544056
4050.3,0.237,0.23645741
4050.3999,0.229,0.22954795
4050.5,0.217,0.22355689
4050.6001,0.203,0.20692514
4050.7,0.198,0.20137595
4050.8,0.202,0.20377289
4050.8999,0.207,0.20893043
4051.0,0.212,0.21183611
4051.1001,0.217,0.21649006
4051.2,0.222,0.2161444
4051.3,0.221,0.21659128
4051.3999,0.213,0.21244504
4051.5,0.197,0.19714367
4051.6001,0.184,0.18254083
4051.7,0.181,0.18139672
4051.8,0.191,0.19073719
4051.8999,0.202,0.2028491
4052.0,0.207,0.20770952
4052.1001,0.202,0.19721247
4052.2,0.194,0.19161588
4052.3,0.187,0.18694219
4052.3999,0.183,0.1825572
4052.5,0.179,0.17859605
4052.6001,0.176,0.17716804
4052.7,0.178,0.1794028
4052.8,0.185,0.17957039
4052.8999,0.197,0.19247589
4053.0,0.209,0.20753187
4053.1001,0.218,0.22102244
4053.2,0.22,0.22115228
4053.3,0.215,0.21857719
4053.3999,0.204,0.21171969
4053.5,0.196,0.20184463
4053.6001,0.193,0.19639753
4053.7,0.194,0.19179402
4053.8,0.197,0.19182642
4053.8999,0.199,0.19210379
4054.0,0.202,0.19532152
4054.1001,0.206,0.2024319
4054.2,0.21,0.21048355
4054.3,0.212,0.21560173
4054.3999,0.215,0.21803229
4054.5,0.221,0.2219558
4054.6001,0.227,0.22534439
4054.7,0.229,0.23393479
4054.8,0.221,0.22607613
4054.8999,0.206,0.22254184
4055.0,0.194,0.20566687
4055.1001,0.193,0.1940574
4055.2,0.202,0.20492518
4055.3,0.218,0.22177112
4055.3999,0.233,0.24854371
4055.5,0.241,0.25338107
4055.6001,0.243,0.25244787
4055.7,0.246,0.25575632
4055.8,0.256,0.26744914
4055.8999,0.27,0.28635037
4056.0,0.281,0.2957714
4056.1001,0.28,0.30112237
4056.2,0.268,0.28960615
4056.3,0.253,0.2675812
4056.3999,0.242,0.24670365
4056.5,0.237,0.23791161
4056.6001,0.234,0.23272096
4056.7,0.231,0.2299983
4056.8,0.227,0.23094559
4056.8999,0.222,0.22544722
4057.0,0.218,0.22808221
4057.1001,0.214,0.22755557
4057.2,0.21,0.22553459
4057.3,0.209,0.22365841
4057.3999,0.209,0.21972883
4057.5,0.204,0.20640585
4057.6001,0.187,0.19359317
4057.7,0.166,0.16017756
4057.8,0.149,0.14998369
4057.8999,0.143,0.14573194
4058.0,0.144,0.14387566
4058.1001,0.145,0.13895248
4058.2,0.141,0.13374987
4058.3,0.136,0.1278714
4058.3999,0.132,0.13146889
4058.5,0.13,0.13175327
4058.6001,0.128,0.13085993
4058.7,0.124,0.13243695
4058.8,0.121,0.12725604
4058.8999,0.12,0.1396332
4059.0,0.122,0.12584889
4059.1001,0.125,0.123198114
4059.2,0.129,0.14123441
4059.3,0.137,0.14357325
4059.3999,0.149,0.14064956
4059.5,0.164,0.15809104
4059.6001,0.175,0.17474256
4059.7,0.178,0.17567363
4059.8,0.176,0.18980014
4059.8999,0.176,0.1714283
4060.0,0.181,0.17283592
4060.1001,0.191,0.18424526
4060.2,0.203,0.19544491
4060.3,0.214,0.20506682
4060.3999,0.221,0.21465495
4060.5,0.216,0.2168428
4060.6001,0.201,0.20230721
4060.7,0.18,0.17254822
4060.8,0.159,0.1532337
4060.8999,0.143,0.14176022
4061.0,0.132,0.13539237
4061.1001,0.123,0.122751795
4061.2,0.119,0.121099256
4061.3,0.117,0.11763119
4061.3999,0.115,0.11245569
4061.5,0.111,0.10864794
4061.6001,0.107,0.104232535
4061.7,0.105,0.09711439
4061.8,0.104,0.0952729
4061.8999,0.102,0.09490502
4062.0,0.101,0.09007695
4062.1001,0.104,0.093213186
4062.2,0.112,0.10186775
4062.3,0.113,0.1032394
4062.3999,0.095,0.0945845
4062.5,0.062,0.095421754
4062.6001,0.028,0.09501179
4062.7,0.016,0.09349341
4062.8,0.026,0.09371843
4062.8999,0.052,0.09552805
4063.0,0.081,0.097116746
4063.1001,0.103,0.09587367
4063.2,0.116,0.103989035
4063.3,0.123,0.113824055
4063.3999,0.127,0.13061325
4063.5,0.13,0.1336604
4063.6001,0.132,0.12800854
4063.7,0.132,0.13106756
4063.8,0.131,0.12537737
4063.8999,0.132,0.1332464
4064.0,0.133,0.13315968
4064.1001,0.133,0.12187761
4064.2,0.126,0.116117366
4064.3,0.104,0.10307423
4064.3999,0.07,0.10038971
4064.5,0.03,0.09217788
4064.6001,0.004,0.09364985
4064.7,0.004,0.08524896
4064.8,0.029,0.08340827
4064.8999,0.072,0.10332699
4065.0,0.114,0.10567145
4065.1001,0.141,0.1270459
4065.2,0.15,0.14958866
4065.3,0.146,0.15083861
4065.3999,0.142,0.14521496
4065.5,0.138,0.14877218
4065.6001,0.135,0.13266511
4065.7,0.132,0.1262183
4065.8,0.127,0.114983015
4065.8999,0.122,0.11932638
4066.0,0.119,0.108617544
4066.1001,0.118,0.10704995
4066.2,0.119,0.11181746
4066.3,0.12,0.11302183
4066.3999,0.12,0.111252196
4066.5,0.119,0.1103589
4066.6001,0.116,0.107415564
4066.7,0.112,0.104095116
4066.8,0.107,0.09700846
4066.8999,0.104,0.08794323
4067.0,0.104,0.08467858
4067.1001,0.108,0.08927573
4067.2,0.118,0.09550324
4067.3,0.13,0.11429658
4067.3999,0.144,0.12916154
4067.5,0.157,0.14075726
4067.6001,0.165,0.15072997
4067.7,0.168,0.16052586
4067.8,0.166,0.16338344
4067.8999,0.16,0.15606588
4068.0,0.153,0.15179522
4068.1001,0.146,0.14636067
4068.2,0.142,0.13819186
4068.3,0.143,0.13951989
4068.3999,0.147,0.14182283
4068.5,0.15,0.14479019
4068.6001,0.149,0.15012681
4068.7,0.147,0.15123928
4068.8,0.143,0.14600323
4068.8999,0.142,0.1437704
4069.0,0.144,0.13919201
4069.1001,0.147,0.14386502
4069.2,0.149,0.1458677
4069.3,0.149,0.14736581
4069.3999,0.147,0.16241138
4069.5,0.146,0.15487964
4069.6001,0.147,0.15947905
4069.7,0.147,0.14711416
4069.8,0.145,0.14749876
4069.8999,0.144,0.14804195
4070.0,0.144,0.14614095
4070.1001,0.142,0.1371869
4070.2,0.136,0.13550526
4070.3,0.127,0.12681912
4070.3999,0.121,0.11704299
4070.5,0.123,0.11344225
4070.6001,0.13,0.13166584
4070.7,0.135,0.15353207
4070.8,0.133,0.14237095
4070.8999,0.126,0.1334269
4071.0,0.12,0.11658953
4071.1001,0.116,0.10904979
4071.2,0.116,0.11247372
4071.3,0.116,0.1032323
4071.3999,0.115,0.10980337
4071.5,0.114,0.11674235
4071.6001,0.114,0.109499656
4071.7,0.116,0.095055655
4071.8,0.117,0.09498412
4071.8999,0.118,0.10409354
4072.0,0.119,0.094193645
4072.1001,0.119,0.102285005
4072.2,0.119,0.12288752
4072.3,0.118,0.10738124
4072.3999,0.11,0.104579054
4072.5,0.093,0.09500109
