depth,measured,predicted
4025.8,99.174,103.051575
4025.8999,98.753,100.280975
4026.0,98.848,100.39488
4026.1001,99.151,102.20131
4026.2,99.646,100.16733
4026.7,102.855,103.35988
4026.8,103.306,100.99385
4026.8999,103.621,104.24075
4027.0,103.874,124.26859
4027.1001,104.048,103.15138
4027.2,104.167,103.161095
4027.3,104.263,104.19769
4027.3999,104.333,104.44037
4027.5,104.323,104.14139
4027.6001,104.276,103.93764
4027.7,104.188,103.831215
4027.8,104.118,104.11494
4027.8999,104.064,104.336754
4028.0,104.046,104.34969
4028.1001,104.029,104.04489
4028.2,103.999,103.58882
4028.3,103.911,103.28299
4028.3999,103.738,102.89631
4028.5,103.512,102.83733
4028.6001,103.234,103.045425
4028.7,102.989,103.02169
4028.8,102.768,102.75066
4028.8999,102.606,101.94824
4029.0,102.44,101.22585
4029.1001,102.153,100.284294
4029.2,99.079,100.07912
4029.3,97.65,99.70281
4029.3999,97.771,98.8681
4029.5,97.932,98.85994
4029.6001,98.087,99.02819
4029.7,98.234,99.14661
4029.8,98.369,99.24319
4029.8999,98.507,99.19641
4030.0,98.65,99.34914
4030.1001,98.87,99.756065
4030.2,99.156,100.12805
4030.3,99.538,100.48956
4030.3999,99.982,100.38824
4030.5,100.408,100.296135
4030.6001,100.772,100.450676
4030.7,100.928,100.18144
4030.8,100.949,100.11689
4030.8999,100.755,100.23392
4031.0,100.406,100.23168
4031.1001,100.008,100.22789
4031.2,99.617,100.219734
4031.3,99.385,100.07004
4031.3999,99.285,99.93515
4031.5,99.481,99.70273
4031.6001,99.815,99.79817
4031.7,100.208,100.20417
4031.8,100.534,101.18584
4031.8999,100.74,102.06859
4032.0,100.865,102.88286
4032.1001,100.913,103.36026
4032.2,100.984,102.726875
4032.3,101.076,102.69541
4032.3999,101.262,103.03618
4032.5,101.503,102.081406
4032.6001,101.797,101.28563
4032.7,102.229,101.286644
4032.8,102.728,102.47031
4032.8999,103.299,102.72385
4033.0,103.877,102.56463
4033.1001,104.381,103.48348
4033.2,104.781,103.90068
4033.3,105.012,104.14399
4033.3999,105.167,104.08569
4033.5,105.229,103.90822
4033.6001,105.09,104.06545
4033.7,104.828,104.16275
4033.8,104.383,103.76744
4033.8999,103.882,103.347496
4034.0,103.381,102.57393
4034.1001,102.923,102.29936
4034.2,102.47,102.178665
4034.3,102.02,102.02049
4034.3999,101.576,101.86794
4034.5,101.208,101.55327
4034.6001,100.91,101.29684
4034.7,100.774,101.040474
4034.8,100.786,101.25969
4034.8999,100.897,101.42875
4035.0,101.147,101.66126
4035.1001,101.406,101.75012
4035.2,101.668,101.077194
4035.3,101.88,101.04345
4035.3999,102.035,100.68309
4035.5,102.142,100.31769
4035.6001,102.136,100.596695
4035.7,102.046,100.76838
4035.8,101.875,100.81406
4035.8999,101.606,100.921135
4036.0,101.319,100.93234
4036.1001,101.013,100.97853
4036.2,100.765,100.99861
4036.3,100.569,101.097534
4036.3999,100.444,101.27409
4036.5,100.461,101.60822
4036.6001,100.518,101.89901
4036.7,100.613,102.03047
4036.8,100.657,101.98297
4036.8999,100.66,101.5817
4037.0,100.6,100.99665
4037.1001,100.564,100.3349
4037.2,100.562,100.156906
4037.3,100.632,100.27631
4037.3999,100.733,100.575905
4037.5,100.835,101.05788
4037.6001,100.904,101.57305
4037.7,100.956,102.03431
4037.8,101.011,102.32686
4037.8999,101.116,102.52799
4038.0,101.319,102.97082
4038.1001,101.604,103.21978
4038.2,102.086,103.49064
4038.3,102.659,103.65901
4038.3999,103.292,103.969284
4038.5,103.94,104.33137
4038.6001,104.497,104.391235
4038.7,104.974,104.47547
4038.8,105.23,104.538414
4038.8999,105.389,104.7751
4039.0,105.452,105.29616
4039.1001,105.402,105.482475
4039.2,105.284,105.29635
4039.3,105.087,104.79748
4039.3999,104.749,104.360176
4039.5,104.374,103.77428
4039.6001,103.961,103.34601
4039.7,103.619,103.323135
4039.8,103.337,103.559875
4039.8999,103.147,103.788055
4040.0,103.057,104.08645
4040.1001,103.032,104.27062
4040.2,103.103,104.27793
4040.3,103.32,104.12742
4040.3999,103.606,103.714554
4040.5,103.98,103.224686
4040.6001,104.332,102.93174
4040.7,104.649,103.22568
4040.8,104.869,103.63282
4040.8999,104.914,104.095474
4041.0,104.82,104.2005
4041.1001,104.424,103.8658
4041.2,104.826,104.30893
4041.3,105.542,105.34416
4041.3999,105.317,105.722
4041.5,105.17,105.705154
4041.6001,105.088,105.77335
4041.7,105.149,105.49362
4041.8,103.977,104.99867
4041.8999,101.854,104.22352
4042.0,102.303,103.15722
4042.1001,102.767,103.19447
4042.2,103.246,103.33928
4042.3,103.623,103.52233
4042.3999,103.926,103.388084
