depth,measured,predicted
4029.0,0.412,0.38581175
4029.1001,0.484,0.6144887
4029.2,0.521,0.45439178
4029.3,0.52,0.32938907
4029.3999,0.41,0.3535784
4029.5,0.321,0.36074427
4029.6001,0.269,0.2850019
4029.7,0.264,0.29515532
4029.8,0.271,0.24992311
4029.8999,0.287,0.38441247
4030.0,0.375,0.69390935
4030.1001,0.487,0.69986016
4030.2,0.622,0.6181533
4030.3,0.653,0.5268852
4030.3999,0.64,0.34129444
4030.5,0.58,0.5763751
4030.6001,0.492,0.39746848
4030.7,0.373,0.34444216
4030.8,0.172,0.26076353
4030.8999,0.3,0.20949787
4031.0,0.552,0.49064356
4031.1001,0.766,0.64499885
4031.2,0.82,0.74552095
4031.3,0.782,0.8286517
4031.3999,0.669,0.64791244
4031.5,0.515,0.3312302
4031.6001,0.353,0.45027727
4031.7,0.345,0.3590392
4031.8,0.284,0.37018618
4031.8999,0.191,0.49645936
4032.0,0.262,-0.073097974
4032.1001,0.359,0.55534375
4032.2,0.48,0.40793937
4032.3,0.567,0.3854482
4032.3999,0.602,0.18886992
4032.5,0.581,0.5186017
4032.6001,0.498,0.64536786
4032.7,0.398,0.6999204
4032.8,0.276,0.5701862
4032.8999,0.242,0.72858554
4033.0,0.25,0.42419463
4033.1001,0.31,0.21289918
4033.2,0.405,0.3172054
4033.3,0.512,0.39693072
4033.3999,0.633,0.57473403
4033.5,0.679,0.45113757
4033.6001,0.685,0.43795344
4033.7,0.634,0.47073975
4033.8,0.576,0.63239104
4033.8999,0.515,0.62542653
4034.0,0.454,0.58121395
4034.1001,0.353,0.38399512
4034.2,0.246,0.3147186
4034.3,0.186,0.3533405
4034.3999,0.141,0.18184331
4034.5,0.117,0.050489157
4034.6001,0.178,0.13674626
4034.7,0.238,0.26283953
4034.8,0.297,0.2705764
4034.8999,0.335,0.26237917
4035.0,0.336,0.24803308
4035.1001,0.31,0.3472452
4035.2,0.279,0.25043303
4035.3,0.264,0.4062591
4035.3999,0.264,0.24849522
4035.5,0.264,0.22517008
4035.6001,0.293,0.22322622
4035.7,0.355,0.25899947
4035.8,0.248,0.22738513
4035.8999,0.13,0.22344097
4036.0,0.012,0.0019203712
4036.8999,0.003,0.010724573
4037.0,0.075,0.08607012
4037.1001,0.15,0.09690508
4037.2,0.195,0.15514931
4037.3,0.269,0.36692628
4037.3999,0.35,0.3932425
4037.5,0.416,0.3579514
4037.6001,0.418,0.43134764
4037.7,0.387,0.25942513
4037.8,0.361,0.48711216
4037.8999,0.304,0.2062003
4038.0,0.234,0.39261574
4038.1001,0.24,0.38382763
4038.2,0.276,0.38381803
4038.3,0.339,0.31171882
4038.3999,0.449,0.36555052
4038.5,0.565,0.47881573
4038.6001,0.686,0.3996068
4038.7,0.695,0.49640703
4038.8,0.699,0.6191159
4038.8999,0.699,0.638279
4039.0,0.692,0.70031744
4039.1001,0.658,0.64955354
