depth,measured,predicted
4158.0,10.0,9.819869
4158.1,10.0,9.955243
4158.2,10.0,9.882747
4158.3,10.0,9.828112
4158.4,10.0,9.893216
4158.5,10.0,9.960773
4158.6,10.0,9.939598
4158.7,10.0,10.113204
4158.8,10.0,10.18078
4158.9,10.0,10.021745
4159.0,10.0,10.044688
4159.1,10.0,9.926784
4159.2,10.0,10.097035
4159.3,10.0,9.878669
4159.4,10.0,9.852729
4159.5,10.0,10.04569
4159.6,10.0,10.093501
4159.7,10.0,10.008223
4159.8,10.0,9.991551
4159.9,10.0,9.990147
4160.0,10.0,9.995934
4160.1,10.0,10.01125
4160.2,10.0,10.023186
4160.3,10.0,9.999929
4160.4,10.0,10.016233
4160.5,10.0,10.019646
4160.6,10.0,10.033664
4160.7,10.0,10.004231
4160.8,10.0,10.00894
4160.9,10.0,10.042711
4161.0,10.0,10.003277
4161.1,10.0,9.989575
4161.2,10.0,10.009184
4161.3,10.0,10.03209
4161.4,10.0,10.023325
4161.5,10.0,10.025467
4161.6,10.0,10.085461
4161.7,10.0,10.017463
4161.8,10.0,10.017048
4161.9,10.0,10.008711
4162.0,10.0,10.005454
4162.1,10.0,9.988103
4162.2,10.0,9.994225
4162.3,10.0,9.996424
4162.4,10.0,10.03007
4162.5,10.0,10.047282
4162.6,10.0,9.98017
4162.7,10.0,9.940057
4162.8,10.0,9.9898405
4162.9,10.0,9.971177
4163.0,10.0,9.980988
4163.1,10.0,9.988523
4163.2,10.0,10.002159
4163.3,10.0,9.9861965
4163.4,10.0,9.9901
4163.5,10.0,10.000376
4163.6,10.0,10.003552
4163.7,10.0,10.021298
4163.8,10.0,10.08112
4163.9,10.0,10.022071
4164.0,10.0,10.053593
4164.1,10.0,10.013492
4164.2,10.0,9.963628
4164.3,10.0,10.054924
4164.4,10.0,9.985499
4164.5,10.0,9.753574
4164.6,10.0,10.041053
4164.7,10.0,9.997297
4164.8,10.0,9.936125
4164.9,10.0,9.985955
4165.0,10.0,9.995897
4165.1,10.0,10.091628
4165.2,10.0,10.016898
4165.3,10.0,10.02255
4165.4,10.0,9.946609
4165.5,10.0,9.852812
4165.6,10.0,10.089997
4165.7,10.0,10.090549
4165.8,10.0,9.954088
4165.9,10.0,9.974983
4166.0,10.0,9.960904
4166.1,10.0,9.944419
4166.2,10.0,9.959836
4166.3,10.0,9.964626
4166.4,10.0,9.976446
4166.5,10.0,9.986092
4166.6,10.0,10.017187
4166.7,10.0,9.9697275
4166.8,10.0,9.997491
4166.9,10.0,10.103712
4167.0,10.0,10.129116
4167.1,10.0,9.975306
4167.2,10.0,9.9324045
4167.3,10.0,9.97686
4167.4,10.0,9.998194
4167.5,10.0,10.003657
4167.6,10.0,9.990566
4167.7,10.0,9.99034
4167.8,10.0,9.989623
4167.9,10.0,9.989838
4168.0,10.0,10.01937
4168.1,10.0,10.01828
4168.2,10.0,10.020066
4168.3,10.0,10.011998
4168.4,10.0,9.99973
4168.5,10.0,9.98165
4168.6,10.0,10.081951
4168.7,10.0,10.053648
4168.8,10.0,9.93051
4168.9,10.0,9.985227
