depth,measured,predicted
4151.8,119.6682,119.42363
4151.9,119.658,119.51531
4152.0,119.1817,114.09987
4152.1,118.8714,119.069725
4152.2,118.867,119.449425
4152.3,119.7307,119.91909
4152.4,120.2371,120.15557
4152.5,120.249,120.196655
4152.6,120.8052,120.59103
4152.7,120.6575,120.75309
4152.8,120.653,120.89708
4152.9,121.0026,121.15065
4153.0,121.2342,121.3572
4153.1,121.2458,121.490944
4153.2,121.2092,121.585915
4153.3,121.0591,121.22837
4153.4,121.054,121.050964
4153.5,120.9507,121.24135
4153.6,120.8072,121.29386
4153.7,120.8078,121.1266
4153.8,120.555,120.7398
4153.9,120.545,120.44832
4154.0,120.0938,119.90176
4154.1,119.6453,119.527176
4154.2,119.627,119.742645
4154.3,119.4222,119.583015
4154.4,119.4445,119.12288
4154.5,119.446,118.8481
4154.6,119.8143,120.10738
4154.7,120.157,120.16181
4154.8,120.173,120.03912
4154.9,120.465,120.204254
4155.0,119.9318,120.05956
4155.1,119.9087,119.85323
4155.2,119.7649,119.87858
4155.3,119.3242,119.57036
4155.4,119.2991,119.93798
4155.5,119.5145,120.68494
4155.6,119.5166,120.337845
4155.7,119.5217,118.66468
4155.8,119.7085,118.69285
4155.9,119.863,119.68609
4156.0,119.8776,120.59918
4156.1,119.6573,119.242195
4156.2,119.6261,119.909515
4156.3,119.6306,120.03449
4156.4,119.8444,119.96413
4156.5,119.3943,120.173164
4156.6,119.3676,120.68498
4156.7,118.8772,121.82203
4156.8,118.485,118.81671
4156.9,118.459,118.60847
4157.0,120.1787,119.357765
4157.1,120.3154,120.21059
4157.2,122.5861,122.12986
4157.3,125.5219,124.57384
4157.4,125.7446,123.78716
4157.5,127.2381,127.36156
4157.6,128.4568,128.20126
4157.7,128.5525,128.46718
4157.8,128.4599,129.03294
4158.0,127.8706,128.16028
4158.1,126.2948,128.5203
4158.2,124.2804,125.18507
4158.3,124.1185,123.605515
4158.4,122.6075,122.40873
4158.5,121.6042,120.54244
4158.6,121.5286,120.030334
4158.7,121.3619,121.49643
4158.8,121.4098,121.62836
4158.9,121.416,121.252396
4159.0,121.6208,121.37771
4159.1,121.5555,121.848854
4159.2,121.547,121.4838
4159.3,121.5515,122.169525
4159.4,121.5257,122.02648
4159.5,121.523,121.21698
4159.6,121.6469,121.17345
4159.7,121.4631,121.51487
4159.8,121.442,121.33909
4159.9,121.2762,120.79915
4160.0,121.213,120.77509
4160.1,121.2134,121.0756
4160.2,121.2248,120.9849
4160.3,121.2314,121.04681
4160.4,121.3817,121.242
4160.5,121.5834,121.52168
4160.6,121.6104,121.62275
4160.7,121.7441,121.72616
4160.8,121.6637,121.56787
4160.9,121.652,121.26493
4161.0,121.4927,120.77645
4161.1,121.4028,121.03077
4161.2,121.3949,121.50801
4161.3,121.4385,122.135254
4161.4,121.5583,122.428894
4161.5,121.573,121.90376
4161.6,121.8639,120.756935
4161.7,122.2959,122.14897
4161.8,122.348,122.754265
4161.9,122.956,123.19634
4162.0,123.6937,123.330795
4162.1,123.7892,123.72665
4162.2,124.2071,124.431046
4162.3,124.3834,124.926834
4162.4,124.4,124.59083
4162.5,124.4254,124.0001
4162.6,124.6414,124.04139
4162.7,124.6781,124.57578
4162.8,125.0305,125.47639
4162.9,125.3913,125.41319
4163.0,125.4422,125.685646
4163.1,125.5629,125.18924
4163.2,125.5089,125.22711
4163.3,125.5032,125.377594
4163.4,125.4633,125.155655
4163.5,125.457,124.6885
4163.6,125.7638,124.20662
4163.7,126.2936,125.12652
4163.8,126.37,125.36497
4163.9,126.1564,125.88968
4164.0,125.2455,125.82561
4164.1,125.1064,125.799774
4164.2,123.1942,122.34906
4164.3,120.844,120.77638
4164.4,120.5016,120.57831
4164.5,117.8663,119.803375
4164.6,115.5528,115.354836
4164.7,115.2374,115.32358
4164.8,114.3799,114.75816
4164.9,115.3656,117.00606
4165.0,115.57,116.32218
4165.1,117.2014,118.22587
4165.2,119.7174,122.429726
4165.3,120.1211,120.458305
4165.4,121.4361,120.18575
4165.5,122.5954,120.83529
4165.6,122.7691,123.44473
4165.7,122.8054,123.30731
4165.8,122.5686,123.793144
4165.9,122.5222,123.25938
4166.0,122.0885,122.09098
4166.1,121.1459,121.34298
4166.2,120.981,120.98662
4166.3,121.084,120.979965
4166.4,120.992,121.20249
4166.5,120.97,121.121155
4166.6,121.2403,121.560875
4166.7,121.2982,121.92641
4166.8,120.7756,121.223114
4166.9,120.9609,121.07069
4167.0,121.0258,120.67504
4167.1,120.6066,120.951485
4167.2,120.5034,121.29258
4167.3,120.505,120.83514
4167.4,120.4449,120.91455
4167.5,120.9461,121.11036
4167.6,121.0599,121.12003
4167.7,121.0108,121.29542
4167.8,120.9137,121.71712
4167.9,120.895,121.027
4168.0,120.5407,120.242744
4168.1,120.3164,120.14724
4168.2,120.284,120.05581
4168.3,120.3191,120.826294
4168.4,120.305,120.23946
4168.5,120.3,120.19204
4168.6,120.6069,120.933334
4168.7,120.8697,121.019196
4168.8,120.914,120.583115
4168.9,120.9067,120.04422
4169.0,120.9018,120.89414
4169.1,120.9059,120.41669
4169.2,121.0323,120.95727
4169.3,121.0378,120.44367
4169.4,121.032,120.66423
4169.5,120.1117,120.70501
4169.6,119.6268,120.61278
4169.7,119.5678,120.931366
4169.8,119.634,119.77238
4169.9,119.65,119.3339
4170.0,120.0309,119.341415
4170.1,119.7224,120.015816
4170.2,119.6202,119.89268
4170.3,119.3761,120.32794
4170.4,119.2049,120.3943
4170.5,119.177,119.97134
4170.6,119.127,119.86078
4170.7,119.4162,119.84412
4170.8,119.495,119.42615
4170.9,118.9989,118.843704
4171.0,119.0055,119.08545
4171.1,119.0467,119.090965
4171.2,119.126,119.52263
4171.3,119.8106,119.90914
4171.4,119.9916,120.03118
4171.5,119.7572,119.760376
4171.6,119.4805,120.325386
4171.7,119.4267,120.40011
4171.8,119.3185,120.06884
4171.9,119.2333,120.89328
4172.0,119.2227,119.3568
4172.1,119.1133,118.6174
4172.2,118.8976,118.618645
4172.3,118.8489,118.9368
4172.4,118.6746,118.813774
4172.5,118.6426,118.49731
4172.6,118.6526,118.26976
4172.7,118.8148,118.134796
4172.8,119.035,118.237656
4172.9,119.0868,118.11203
4173.0,119.486,118.33207
4173.1,119.6096,118.73528
4173.2,119.7393,119.164185
4173.3,118.9195,118.9532
4173.4,118.6575,119.1294
4173.5,118.4603,118.795616
4173.6,118.2097,118.60817
4173.7,118.1548,118.47369
4173.8,117.906,118.50124
4173.9,117.5905,118.68623
4174.0,117.5198,118.22491
4174.1,118.2491,118.781525
4174.2,119.2557,119.88278
4174.3,119.5068,120.34096
4174.4,119.8317,120.536415
4174.5,119.9073,120.91352
4174.6,119.9033,120.91467
4174.7,120.7464,120.96025
4174.8,121.3831,122.243355
4174.9,121.5027,122.38131
4175.0,122.0379,123.44218
4175.1,122.1066,122.87712
4175.2,122.0715,123.98757
4175.3,122.607,124.391556
4175.4,122.9305,121.89552
