depth,measured,predicted
4158.0,0.01,0.034575433
4158.1,0.01,0.016202359
4158.2,0.01,0.031211583
4158.3,0.01,0.013929754
4158.4,0.01,0.014107197
4158.5,0.01,0.019157497
4158.6,0.01,0.0052924445
4158.7,0.01,0.021078674
4158.8,0.01,0.009628682
4158.9,0.01,-0.010973425
4159.0,0.01,-0.0014148067
4159.1,0.01,0.03139624
4159.2,0.01,0.026036588
4159.3,0.01,-0.03401664
4159.4,0.01,0.047352105
4159.5,0.01,0.12481633
4159.6,0.01,0.10253331
4159.7,0.01,0.017641632
4159.8,0.01,-0.010272355
4159.9,0.01,-0.03062454
4160.0,0.01,-0.031796604
4160.1,0.01,0.026195733
4160.2,0.01,0.06982103
4160.3,0.01,-0.03152421
4160.4,0.01,0.066310614
4160.5,0.01,0.005034714
4160.6,0.01,-0.007794232
4160.7,0.01,0.011976331
4160.8,0.01,0.0036422897
4160.9,0.01,0.01622763
4161.0,0.01,0.01962587
4161.1,0.01,0.0031394649
4161.2,0.01,0.004126101
4161.3,0.01,0.0260348
4161.4,0.01,0.004916399
4161.5,0.01,0.018313197
4161.6,0.01,0.031106917
4161.7,0.01,0.02333465
4161.8,0.01,0.020322172
4161.9,0.01,0.00039484986
4162.0,0.01,0.012581914
4162.1,0.01,-0.0054074237
4162.2,0.01,0.011035233
4162.3,0.01,0.02835819
4162.4,0.01,0.026679842
4162.5,0.01,0.05124709
4162.6,0.01,-0.009511084
4162.7,0.01,0.028192488
4162.8,0.01,0.022071747
4162.9,0.01,0.024252145
4163.0,0.01,0.0050976565
4163.1,0.01,-0.006811888
4163.2,0.01,-0.0021584344
4163.3,0.01,-0.041140586
4163.4,0.01,-0.013124795
4163.5,0.01,0.0027890492
4163.6,0.01,0.0030354548
4163.7,0.01,0.0013969828
4163.8,0.01,-0.012332411
4163.9,0.01,0.0047866395
4164.0,0.01,0.0050671985
4164.1,0.01,0.010805278
4164.2,0.01,0.0020920325
4164.3,0.01,-0.029999109
4164.4,0.01,0.0068283966
4164.5,0.01,-1.7971897e-05
4164.6,0.01,0.003657608
4164.7,0.01,-0.04529628
4164.8,0.01,0.009880274
4164.9,0.01,0.75818604
4165.0,0.01,0.8207055
4165.1,0.01,0.4913889
4165.2,0.01,-0.027506622
4165.3,0.01,0.0047540357
4165.4,0.01,0.038270146
4165.5,0.01,0.02143368
4165.6,0.01,-0.013904304
4165.7,0.01,-0.00079116336
4165.8,0.01,0.003187685
4165.9,0.01,-0.023920925
4166.0,0.01,0.010778039
4166.1,0.01,-0.037546903
4166.2,0.01,-0.03367886
4166.3,0.01,0.011528819
4166.4,0.01,0.008448272
4166.5,0.01,0.012877791
4166.6,0.01,-0.002091856
4166.7,0.01,0.010158925
4166.8,0.01,0.021773366
4166.9,0.01,0.013567536
4167.0,0.01,0.006979256
4167.1,0.01,0.001365452
4167.2,0.01,0.011202841
4167.3,0.01,0.014435559
4167.4,0.01,0.038992494
4167.5,0.01,0.027560202
4167.6,0.01,0.0075796535
4167.7,0.01,0.015178769
4167.8,0.01,0.012302666
4167.9,0.01,0.017815856
4168.0,0.01,0.0043681553
4168.1,0.01,0.019111006
4168.2,0.01,0.030046372
4168.3,0.01,0.0066725304
4168.4,0.01,0.016993491
4168.5,0.01,0.015012591
4168.6,0.01,-0.02303979
4168.7,0.01,-0.020463081
4168.8,0.01,-0.003958256
4168.9,0.01,0.017237572
4169.0,0.01,-0.012346298
4169.1,0.01,-0.0008634042
4169.2,0.01,0.004143088
4169.3,0.01,-0.0010753582
4169.4,0.01,0.0036841321
4169.5,0.01,0.028484313
4169.6,0.01,0.002277403
4169.7,0.01,-0.0083509395
4169.8,0.01,0.00051250943
4169.9,0.01,-0.001098306
4170.0,0.01,0.0056104353
4170.1,0.01,0.0058700135
4170.2,0.01,0.005129724
4170.3,0.01,0.018812267
4170.4,0.01,0.018901912
4170.5,0.01,-0.020350011
4170.6,0.01,-0.0215247
4170.7,0.01,0.040792376
4170.8,0.01,0.036769122
4170.9,0.01,0.014800756
4171.0,0.01,-0.009810836
4171.1,0.01,-0.008071394
4171.2,0.01,0.0031203914
4171.3,0.01,0.0020945359
4171.4,0.01,-0.004579098
4171.5,0.01,0.022995917
4171.6,0.01,-0.01784137
4171.7,0.01,0.007569461
4171.8,0.01,0.013338952
4171.9,0.01,0.024976877
4172.0,0.01,-0.013850302
4172.1,0.01,0.0629684
4172.2,0.01,0.032078296
4172.3,0.01,0.028733758
4172.4,0.01,0.11376932
4172.5,0.01,0.049116105
4172.6,0.01,0.0018739988
4172.7,0.01,0.0079461625
4172.8,0.01,0.041534275
4172.9,0.01,0.050867468
4173.0,0.01,0.010315745
4173.1,0.01,0.00072213897
4173.2,0.01,0.005063026
4173.3,0.01,0.006859272
4173.4,0.01,0.010543912
4173.5,0.01,0.025402216
4173.6,0.01,0.014775663
4173.7,0.01,0.021272985
4173.8,0.01,0.0056024482
4173.9,0.01,0.029103307
4174.0,0.01,0.01990047
4174.1,0.01,0.019598452
4174.2,0.01,0.022519855
