depth,measured,predicted
4078.8,10.0,9.99061
4078.9,10.0,10.006856
4079.0,10.0,10.015495
4079.1,10.0,10.001837
4079.2,10.0,10.119306
4079.3,10.0,10.111639
4079.4,10.0,10.013823
4079.5,10.0,9.985282
4079.6,10.0,10.012586
4079.7,10.0,10.0235
4079.8,10.0,10.0172
4079.9,10.0,10.019231
4080.0,10.0,10.021424
4080.1,10.0,10.020668
4080.2,10.0,9.989757
4080.3,10.0,9.981092
4080.4,10.0,9.9545355
4080.5,10.0,9.965
4080.6,10.0,9.948976
4080.7,10.0,10.00494
4080.8,10.0,9.963314
4080.9,10.0,10.002261
4081.0,10.0,10.0177355
4081.1,10.0,9.998627
4081.2,10.0,9.996133
4081.3,10.0,10.008832
4081.4,10.0,10.020366
4081.5,10.0,9.977145
4081.6,10.0,9.986995
4081.7,10.0,10.0334635
4081.8,10.0,10.049472
4081.9,10.0,10.014308
4082.0,10.0,10.091972
4082.1,10.0,10.040558
4082.2,10.0,10.003539
4082.3,10.0,9.995221
4082.4,10.0,10.012885
4082.5,10.0,10.01731
4082.6,10.0,10.02096
4082.7,10.0,10.0185585
4082.8,10.0,10.025081
4082.9,10.0,10.0274935
4083.0,10.0,10.029066
4083.1,10.0,10.008709
4083.2,10.0,10.0380945
4083.3,10.0,10.048753
4083.4,10.0,10.052402
4083.5,10.0,10.009822
4083.6,10.0,10.013912
4083.7,10.0,10.028876
4083.8,10.0,10.022336
4083.9,10.0,10.020101
4084.0,10.0,10.001485
4084.1,10.0,9.993845
4084.2,10.0,10.047725
4084.3,10.0,9.940284
4084.4,10.0,9.998176
4084.5,10.0,10.024123
4084.6,10.0,10.030872
4084.7,10.0,9.918008
4084.8,10.0,9.991931
4084.9,10.0,10.033579
4085.0,10.0,9.999827
4085.1,10.0,10.020521
4085.2,10.0,10.021104
4085.3,10.0,10.026226
4085.4,10.0,10.041763
4085.5,10.0,10.03349
4085.6,10.0,10.000536
4085.7,10.0,9.991588
4085.8,10.0,9.99049
4085.9,10.0,9.998532
4086.0,10.0,10.000087
4086.1,10.0,10.037015
4086.2,10.0,10.021656
4086.3,10.0,9.913409
4086.4,10.0,10.138252
4086.5,10.0,9.928548
4086.6,10.0,9.922312
4086.7,10.0,9.904883
4086.8,10.0,10.005328
4086.9,10.0,9.995629
4087.0,10.0,10.008328
4087.1,10.0,10.002026
4087.2,10.0,10.029342
4087.3,10.0,9.928652
4087.4,10.0,9.898139
4087.5,10.0,9.887802
4087.6,10.0,10.144293
4087.7,10.0,9.896444
4087.8,10.0,10.057281
4087.9,10.0,10.082194
4088.0,10.0,10.572088
4088.1,10.0,10.504857
4088.2,10.0,10.160478
4088.3,10.0,10.007121
4088.4,10.0,10.015275
4088.5,10.0,9.919945
4088.6,10.0,10.028466
4088.7,10.0,9.990309
4088.8,10.0,9.988232
4088.9,10.0,9.9676485
4089.0,10.0,9.961712
4089.1,10.0,10.010336
4089.2,10.0,10.0307255
4089.3,10.0,10.011903
4089.4,10.0,10.031833
4089.5,10.0,10.010447
4089.6,10.0,10.013203
4089.7,10.0,9.998661
4089.8,10.0,10.036986
4089.9,10.0,10.04109
4090.0,10.0,10.012058
4090.1,10.0,10.029153
4090.2,10.0,10.032435
4090.3,10.0,10.026476
4090.4,10.0,10.118457
4090.5,10.0,9.971889
4090.6,10.0,9.975983
4090.7,10.0,9.945578
4090.8,10.0,9.966784
4090.9,10.0,9.984664
4091.0,10.0,10.022949
4091.1,10.0,10.075979
4091.2,10.0,10.03066
4091.3,10.0,10.074761
4091.4,10.0,10.048146
4091.5,10.0,10.021646
4091.6,10.0,10.070382
4091.7,10.0,10.034958
4091.8,10.0,10.0166855
4091.9,10.0,10.0253935
4092.0,10.0,10.026597
4092.1,10.0,10.021562
4092.2,10.0,10.019454
4092.3,10.0,10.031598
4092.4,10.0,9.9531975
4092.5,10.0,9.997248
4092.6,10.0,9.991184
4092.7,10.0,10.006494
4092.8,10.0,10.029187
4092.9,10.0,10.110412
4093.0,10.0,9.829136
4093.1,10.0,9.834706
4093.2,10.0,10.113037
4093.3,10.0,9.998241
4093.4,10.0,10.015666
4093.5,10.0,9.918872
4093.6,10.0,10.1227255
4093.7,10.0,9.890689
4093.8,10.0,10.019643
4093.9,10.0,10.0384445
4094.0,10.0,10.063197
4094.1,10.0,10.007111
4094.2,10.0,9.9767475
4094.3,10.0,10.001428
4094.4,10.0,10.022345
4094.5,10.0,9.994689
4094.6,10.0,10.117622
4094.7,10.0,10.033469
4094.8,10.0,9.83852
4094.9,10.0,10.097453
4095.0,10.0,10.021903
4095.1,10.0,10.015327
4095.2,10.0,10.007995
4095.3,10.0,10.019123
4095.4,10.0,10.036555
4095.5,10.0,10.048663
4095.6,10.0,10.02959
4095.7,10.0,9.994133
4095.8,10.0,10.016916
4095.9,10.0,10.065308
4096.0,10.0,9.996136
4096.1,10.0,9.9986925
4096.2,10.0,10.034997
4096.3,10.0,9.924895
4096.4,10.0,10.003762
4096.5,10.0,10.00197
4096.6,10.0,10.021553
4096.7,10.0,9.984677
4096.8,10.0,10.019649
4096.9,10.0,10.005284
4097.0,10.0,10.023527
4097.1,10.0,10.021196
4097.2,10.0,10.001551
4097.3,10.0,10.021041
4097.4,10.0,10.069055
4097.5,10.0,10.023692
4097.6,10.0,9.974167
4097.7,10.0,9.91304
4097.8,10.0,9.927732
4097.9,10.0,9.988797
4098.0,10.0,9.995074
4098.1,10.0,9.985916
4098.2,10.0,9.97602
4098.3,10.0,9.966632
4098.4,10.0,10.004883
4098.5,10.0,10.012717
4098.6,10.0,9.996329
4098.7,10.0,10.0421
4098.8,10.0,9.992497
4098.9,10.0,9.973337
4099.0,10.0,9.823429
4099.1,10.0,10.217405
4099.2,10.0,10.049729
4099.3,10.0,10.023987
4099.4,10.0,10.007908
4099.5,10.0,9.984793
4099.6,10.0,9.933806
4099.7,10.0,9.88051
4099.8,10.0,9.877112
4099.9,10.0,9.853715
4100.0,10.0,9.937934
4100.1,10.0,9.9150305
4100.2,10.0,9.9711685
4100.3,10.0,9.992159
4100.4,10.0,11.390394
4100.5,10.0,10.521953
4100.6,10.0,9.901452
4100.7,10.0,10.018367
4100.8,10.0,9.972804
4100.9,10.0,10.001879
4101.0,10.0,9.9805975
4101.1,10.0,10.016359
4101.2,10.0,10.0313015
4101.3,10.0,10.023934
4101.4,10.0,10.025015
4101.5,10.0,10.02752
4101.6,10.0,9.99913
4101.7,10.0,10.039555
4101.8,10.0,9.955729
4101.9,10.0,9.90901
4102.0,10.0,9.937454
4102.1,10.0,9.988172
4102.2,10.0,10.041582
4102.3,10.0,10.007436
4102.4,10.0,10.0268545
4102.5,10.0,9.98545
4102.6,10.0,9.957356
4102.7,10.0,10.02691
4102.8,10.0,10.021953
4102.9,10.0,10.076119
4103.0,10.0,9.864094
4103.1,10.0,9.949845
4103.2,10.0,10.061336
4103.3,10.0,10.050098
4103.4,10.0,10.096371
4103.5,10.0,10.049556
4103.6,10.0,10.043448
4103.7,10.0,9.964757
4103.8,10.0,9.997567
4103.9,10.0,10.014468
4104.0,10.0,10.024286
4104.1,10.0,10.031399
4104.2,10.0,10.004221
4104.3,10.0,10.003794
4104.4,10.0,9.989655
4104.5,10.0,10.016496
4104.6,10.0,10.034532
4104.7,10.0,10.005321
4104.8,10.0,9.972364
4104.9,10.0,9.947515
4105.0,10.0,10.027134
4105.1,10.0,10.025199
4105.2,10.0,10.025501
4105.3,10.0,10.003473
4105.4,10.0,9.977681
4105.5,10.0,10.018731
4105.6,10.0,10.026639
4105.7,10.0,10.032979
4105.8,10.0,10.048971
4105.9,10.0,10.042891
4106.0,10.0,10.031854
4106.1,10.0,10.0044365
4106.2,10.0,9.991929
4106.3,10.0,9.9838705
4106.4,10.0,9.985324
4106.5,10.0,10.031273
4106.6,10.0,10.038726
4106.7,10.0,10.026431
4106.8,10.0,9.98259
4106.9,10.0,10.015041
4107.0,10.0,10.002065
4107.1,10.0,9.987891
4107.2,10.0,9.964974
4107.3,10.0,9.9750595
4107.4,10.0,9.982792
4107.5,10.0,9.995764
4107.6,10.0,9.994911
4107.7,10.0,10.005439
4107.8,10.0,10.014251
4107.9,10.0,10.016349
4108.0,10.0,9.988515
4108.1,10.0,10.00314
