depth,measured,predicted
4079.2,108.6908,108.61859
4079.3,108.6343,108.49495
4079.4,108.5803,108.37983
4079.5,108.5456,108.3313
4079.6,108.5375,108.28429
4079.7,108.5562,108.580734
4079.8,108.6002,108.795975
4079.9,108.6676,108.87569
4080.0,108.7576,108.9373
4080.1,108.8695,108.99424
4080.2,108.9987,109.0421
4080.3,109.1339,109.13692
4080.4,109.2593,109.25398
4080.5,109.3582,109.17756
4080.6,109.4204,109.23534
4080.7,109.4473,109.4905
4080.8,109.4494,109.605415
4080.9,109.441,109.58024
4081.0,109.4346,109.425255
4081.1,109.4388,109.337364
4081.2,109.4588,109.32135
4081.3,109.4957,109.27018
4081.4,109.5467,109.29144
4081.5,109.6091,109.35753
4081.6,109.6827,109.43863
4081.7,109.771,109.72662
4081.8,109.8776,109.92235
4081.9,110.0009,110.09352
4082.0,110.1319,110.25175
4082.1,110.2594,110.348854
4082.2,110.373,110.314896
4082.3,110.4697,110.24521
4082.4,110.5559,110.289055
4082.5,110.6421,110.56721
4082.6,110.7364,110.82122
4082.7,110.8395,111.001175
4082.8,110.9434,111.21948
4082.9,111.0389,111.40768
4083.0,111.1202,111.40331
4083.1,111.1851,111.39307
4083.2,111.2318,111.43426
4083.3,111.2557,111.49555
4083.4,111.2504,111.42972
4083.5,111.2133,111.40912
4083.6,111.1501,111.46019
4083.7,111.0739,111.41968
4083.8,111.001,111.24378
4083.9,110.9434,111.145515
4084.0,110.9086,111.14341
4084.1,110.901,111.232994
4084.2,110.9215,111.26298
4084.3,110.9673,111.259384
4084.4,111.0309,111.15915
4084.5,111.1017,111.15034
4084.6,111.1707,111.22134
4084.7,111.234,111.32839
4084.8,111.2919,111.32795
4084.9,111.3476,111.38064
4085.0,111.404,111.48977
4085.1,111.4614,111.60613
4085.2,111.517,111.68009
4085.3,111.5651,111.67954
4085.4,111.5986,111.624794
4085.5,111.6128,111.642555
4085.6,111.6087,111.63417
4085.7,111.5933,111.61076
4085.8,111.576,111.39829
4085.9,111.5624,111.3744
4086.0,111.5509,111.36485
4086.1,111.5325,111.36858
4086.2,111.4939,111.44094
4086.3,111.4242,111.39061
4086.4,111.3209,111.08532
4086.5,111.1936,111.07532
4086.6,111.0619,110.93754
4086.7,110.9479,110.70131
4086.8,110.8701,110.490616
4086.9,110.8417,110.483894
4087.0,110.8681,110.61487
4087.1,110.9437,110.870636
4087.2,111.0533,111.127785
4087.3,111.177,111.31831
4087.4,111.299,111.47676
4087.5,111.4082,111.55195
4087.6,111.4965,111.54084
4087.7,111.557,111.55026
4087.8,111.5886,111.57444
4087.9,111.6004,111.63887
4088.0,111.6092,111.61492
4088.1,111.6286,111.569084
4088.2,111.6631,111.53898
4088.3,111.7064,111.57942
4088.4,111.7506,111.62279
4088.5,111.7955,111.77332
4088.6,111.8493,111.78805
4088.7,111.9216,111.79126
4088.8,112.0156,111.81292
4088.9,112.1245,111.92566
4089.0,112.2351,112.082344
4089.1,112.3336,112.25757
4089.2,112.4084,112.37286
4089.3,112.4523,112.42686
4089.4,112.4636,112.47033
4089.5,112.4451,112.523674
4089.6,112.4042,112.47075
4089.7,112.3515,112.28982
4089.8,112.2986,112.15742
4089.9,112.2543,112.093735
4090.0,112.2225,112.02989
4090.1,112.203,111.9287
4090.2,112.1958,111.89893
4090.3,112.2018,111.89182
4090.4,112.2197,111.83617
4090.5,112.2414,111.867966
4090.6,112.253,111.85599
4090.7,112.2405,111.76731
4090.8,112.1954,111.73781
4090.9,112.1187,111.72128
4091.0,112.0186,111.67895
4091.1,111.9063,111.652466
4091.2,111.7933,111.657
4091.3,111.6887,111.65847
4091.4,111.5963,111.56665
4091.5,111.5168,111.52592
4091.6,111.4466,111.471115
4091.7,111.3784,111.40665
4091.8,111.3046,111.312386
4091.9,111.2179,111.276474
4092.0,111.1119,111.201775
4092.1,110.9829,111.11989
4092.2,110.8316,111.00331
4092.3,110.6648,110.809875
4092.4,110.4989,110.721405
4092.5,110.3544,110.590324
4092.6,110.2495,110.31567
4092.7,110.1942,110.16718
4092.8,110.1881,110.05393
4092.9,110.2265,110.020004
4093.0,110.3065,110.13976
4093.1,110.4292,110.4416
4093.2,110.5965,110.67774
4093.3,110.8026,111.041595
4093.4,111.029,111.43283
4093.5,111.2486,111.282425
4093.6,111.4337,111.29541
4093.7,111.5693,111.40646
4093.8,111.6597,111.57671
4093.9,111.7217,111.62304
4094.0,111.7746,111.66665
4094.1,111.8297,111.76157
4094.2,111.8891,111.85667
4094.3,111.9501,111.99459
4094.4,112.0104,112.04093
4094.5,112.0688,112.12803
4094.6,112.1258,112.26506
4094.7,112.1811,112.31502
4094.8,112.2317,112.32567
4094.9,112.273,112.1267
4095.0,112.2994,112.12703
4095.1,112.309,112.04617
4095.2,112.3072,111.90898
4095.3,112.3056,111.9035
4095.4,112.3182,111.98626
4095.5,112.3564,112.1195
4095.6,112.4237,112.27118
4095.7,112.516,112.38972
4095.8,112.6247,112.5001
4095.9,112.7391,112.604
4096.0,112.8504,112.82703
4096.1,112.9536,112.78267
4096.2,113.0455,112.721725
4096.3,113.1222,112.69686
4096.4,113.1766,112.797745
4096.5,113.1997,112.92391
4096.6,113.1879,113.03342
4096.7,113.1476,113.03964
4096.8,113.0927,113.03312
4096.9,113.0353,113.019226
4097.0,112.9783,113.02088
4097.1,112.9168,112.98663
4097.2,112.8438,112.912384
4097.3,112.7565,112.74574
4097.4,112.6577,112.583534
4097.5,112.5541,112.47632
4097.6,112.4555,112.38111
4097.7,112.3707,112.31588
4097.8,112.3007,112.28126
4097.9,112.2398,112.310936
4098.0,112.1771,112.32804
4098.1,112.1016,112.30858
4098.2,112.0077,112.20003
4098.3,111.8971,112.00434
4098.4,111.7792,111.75305
4098.5,111.6707,111.5756
4098.6,111.5904,111.57961
4098.7,111.5537,111.58771
4098.8,111.569,111.55631
4098.9,111.6344,111.53297
4099.0,111.7367,111.63959
4099.1,111.8535,112.02824
4099.2,111.9601,112.245804
4099.3,112.0367,112.30551
4099.4,112.0739,112.352135
4099.5,112.0724,112.30202
4099.6,112.0384,112.223854
4099.7,111.9806,111.995575
4099.8,111.9077,111.842186
4099.9,111.8297,111.72201
4100.0,111.7569,111.70315
4100.1,111.6962,111.68813
4100.2,111.6468,111.6348
4100.3,111.6027,111.61641
4100.4,111.556,111.56088
4100.5,111.5029,111.39347
4100.6,111.4432,111.28799
4100.7,111.3778,111.23882
4100.8,111.3077,111.23882
4100.9,111.2356,111.28672
