depth,measured,predicted
3500.0,10.0,10.007144
3500.125,10.0,10.03026
3500.25,10.0,10.004203
3500.375,10.0,10.003159
3500.5,10.0,9.981519
3500.625,10.0,10.006134
3500.75,10.0,10.000488
3500.875,10.0,9.960021
3501.0,10.0,10.015992
3501.125,10.0,9.988281
3501.25,10.0,9.996642
3501.375,10.0,9.998967
3501.5,10.0,9.999733
3501.625,10.0,10.014757
3501.75,10.0,10.000148
3501.875,10.0,10.011064
3502.0,10.0,10.007378
3502.125,10.0,10.0168295
3502.25,10.0,10.008086
3502.375,10.0,10.00996
3502.5,10.0,10.002472
3502.625,10.0,10.006922
3502.75,10.0,10.006987
3502.875,10.0,10.022058
3503.0,10.0,10.005368
3503.125,10.0,10.015711
3503.25,10.0,10.013694
3503.375,10.0,9.988491
3503.5,10.0,10.002881
3503.625,10.0,10.024636
3503.75,10.0,10.0057745
3503.875,10.0,10.001852
3504.0,10.0,10.000827
3504.125,10.0,10.003951
3504.25,10.0,10.0199585
3504.375,10.0,10.046288
3504.5,10.0,9.853472
3504.625,10.0,9.869151
3504.75,10.0,9.865977
3504.875,10.0,9.991363
3505.0,10.0,10.144675
3505.125,10.0,9.99092
3505.25,10.0,10.007608
3505.375,10.0,10.021545
3505.5,10.0,9.815422
3505.625,10.0,9.639421
3505.75,10.0,9.722905
3505.875,10.0,9.784714
3506.0,10.0,9.85868
3506.125,10.0,9.924059
3506.25,10.0,9.98925
3506.375,10.0,9.984685
3506.5,10.0,10.04694
3506.625,10.0,9.989903
3506.75,10.0,9.934245
3506.875,10.0,10.87895
3507.0,10.0,9.843636
3507.125,10.0,9.853588
3507.25,10.0,10.038626
3507.375,10.0,10.016596
3507.5,10.0,9.982205
3507.625,10.0,9.982906
3507.75,10.0,10.001672
3507.875,10.0,10.010827
3508.0,10.0,9.961772
3508.125,10.0,10.006604
3508.25,10.0,10.000523
3508.375,10.0,10.004885
3508.5,10.0,9.996882
3508.625,10.0,9.996151
3508.75,10.0,10.022797
3508.875,10.0,9.870295
3509.0,10.0,9.922064
3509.125,10.0,10.007297
3509.25,10.0,9.987975
3509.375,10.0,10.0278015
3509.5,10.0,10.016286
3509.625,10.0,10.028122
3509.75,10.0,9.997666
3509.875,10.0,10.052009
3510.0,10.0,10.009436
3510.125,10.0,10.018096
3510.25,10.0,9.978857
3510.375,10.0,9.991135
3510.5,10.0,9.988103
3510.625,10.0,9.990547
3510.75,10.0,9.998338
3510.875,10.0,9.99386
3511.0,10.0,9.996301
3511.125,10.0,9.992521
3511.25,10.0,9.991198
3511.375,10.0,10.010659
3511.5,10.0,10.003091
3511.625,10.0,10.003882
3511.75,10.0,9.985292
3511.875,10.0,9.971658
3512.0,10.0,9.983253
3512.125,10.0,9.982339
3512.25,10.0,9.994998
3512.375,10.0,9.995548
3512.5,10.0,9.991012
3512.625,10.0,10.004405
3512.75,10.0,9.988218
3512.875,10.0,9.978263
3513.0,10.0,10.007231
3513.125,10.0,10.004206
3513.25,10.0,10.014666
3513.375,10.0,10.012817
3513.5,10.0,10.12372
3513.625,10.0,9.966391
3513.75,10.0,10.020471
3513.875,10.0,10.0016165
3514.0,10.0,9.996786
3514.125,10.0,9.984256
3514.25,10.0,9.993546
3514.375,10.0,10.045271
3514.5,10.0,9.994691
3514.625,10.0,10.022032
3514.75,10.0,10.011392
3514.875,10.0,10.030176
3515.0,10.0,10.097331
3515.125,10.0,10.002112
3515.25,10.0,10.013562
3515.375,10.0,10.0073595
3515.5,10.0,10.000738
3515.625,10.0,10.003088
3515.75,10.0,9.998309
3515.875,10.0,10.0034
3516.0,10.0,9.982011
3516.125,10.0,9.980351
3516.25,10.0,10.006105
3516.375,10.0,10.002026
3516.5,10.0,9.986176
3516.625,10.0,9.995439
3516.75,10.0,10.023511
3516.875,10.0,10.040036
3517.0,10.0,10.1063595
3517.125,10.0,9.987152
3517.25,10.0,10.011919
3517.375,10.0,10.022263
3517.5,10.0,9.996408
3517.625,10.0,10.005223
3517.75,10.0,10.022116
3517.875,10.0,10.018698
3518.0,10.0,10.019283
3518.125,10.0,10.01445
3518.25,10.0,10.004817
3518.375,10.0,9.990506
3518.5,10.0,9.999442
3518.625,10.0,10.014161
3518.75,10.0,10.016425
3518.875,10.0,9.983145
3519.0,10.0,10.007598
3519.125,10.0,9.998427
3519.25,10.0,10.023553
3519.375,10.0,10.009704
3519.5,10.0,10.074614
3519.625,10.0,9.975412
3519.75,10.0,10.088437
3519.875,10.0,9.99952
3520.0,10.0,9.978273
3520.125,10.0,9.983889
3520.25,10.0,10.018553
3520.375,10.0,10.021175
