depth,measured,predicted
3500.0,91.265,91.38616
3500.125,91.193,90.64463
3500.25,91.142,90.97419
3500.375,91.111,91.12738
3500.5,91.066,91.34855
3500.625,90.952,91.177734
3500.75,91.011,90.945724
3500.875,90.998,90.91685
3501.0,90.952,91.04058
3501.125,90.923,91.28249
3501.25,90.91,90.86166
3501.375,90.617,90.26804
3501.5,90.438,90.03006
3501.625,90.112,89.78657
3501.75,89.768,89.56645
3501.875,89.726,90.10928
3502.0,90.444,90.37024
3502.125,89.952,89.80136
3502.25,89.76,89.60231
3502.375,89.682,89.37419
3502.5,89.649,89.40454
3502.625,89.659,90.03499
3502.75,89.715,90.51437
3502.875,89.459,89.62389
3503.0,89.21,89.26206
3503.125,89.507,89.71329
3503.25,90.091,89.65847
3503.375,89.752,89.38048
3503.5,89.852,89.682236
3503.625,89.443,89.36777
3503.75,89.004,89.305916
3503.875,88.737,89.260574
3504.0,88.668,89.16541
3504.125,88.676,89.06321
3504.25,88.575,88.93245
3504.375,88.552,89.08843
3504.5,88.462,89.18593
3504.625,88.331,89.298904
3504.75,88.363,89.25474
3504.875,88.474,88.934845
3505.0,88.499,88.94182
3505.125,88.504,88.690704
3505.25,88.508,88.51926
3505.375,88.549,88.32961
3505.5,88.764,88.46623
3505.625,88.914,88.775665
3505.75,88.818,88.645676
3505.875,88.518,88.31451
3506.0,88.172,88.06652
3506.125,87.975,87.77067
3506.25,87.86,87.4741
3506.375,87.516,87.29544
3506.5,87.384,87.245056
3506.625,87.337,87.22127
3506.75,87.215,87.72454
3506.875,87.06,87.78043
3507.0,87.062,87.92417
3507.125,87.288,88.15075
3507.25,87.731,88.3714
3507.375,88.113,88.6884
3507.5,88.121,88.51151
3507.625,88.124,88.608376
3507.75,88.353,89.00097
3507.875,88.456,89.404785
3508.0,88.34,89.2576
3508.125,88.148,88.97757
3508.25,88.265,88.4607
3508.375,87.879,88.1015
3508.5,87.739,87.578575
3508.625,87.709,87.43044
3508.75,87.712,87.40156
3508.875,87.686,87.46749
3509.0,87.479,87.22966
3509.125,86.897,86.895744
3509.25,86.635,86.94778
3509.375,86.506,87.027725
3509.5,86.44,87.09288
3509.625,86.621,87.34563
3509.75,87.28,87.927475
3509.875,87.399,87.9175
3510.0,87.402,87.74759
3510.125,87.692,88.05437
3510.25,88.442,89.009186
3510.375,89.221,88.989296
3510.5,88.182,87.884995
3510.625,88.524,88.776
3510.75,89.076,89.28124
3510.875,89.234,89.49042
3511.0,89.237,89.5873
3511.125,89.241,88.92246
3511.25,89.482,89.07453
3511.375,89.661,89.362434
3511.5,89.828,89.5606
3511.625,89.966,89.881996
3511.75,89.677,89.60289
3511.875,89.605,89.27147
3512.0,89.574,88.927185
3512.125,89.498,88.933754
3512.25,89.364,89.21961
3512.375,89.229,89.35778
3512.5,89.286,89.43243
3512.625,89.328,89.408806
3512.75,89.67,89.644585
3512.875,89.927,89.57909
3513.0,89.963,90.00184
3513.125,90.306,89.75677
3513.25,90.43,89.75571
3513.375,90.578,90.629486
3513.5,90.586,90.3334
3513.625,90.517,90.15138
3513.75,90.521,90.18651
3513.875,90.524,90.88504
3514.0,90.528,91.08712
3514.125,90.426,90.87931
3514.25,90.074,89.93243
3514.375,89.572,89.31996
3514.5,89.313,88.77784
3514.625,88.687,88.83152
3514.75,88.922,89.13129
3514.875,89.013,89.17468
3515.0,89.236,89.72675
3515.125,89.997,90.52397
3515.25,90.227,90.437904
3515.375,90.246,90.3556
3515.5,90.249,90.26027
3515.625,90.381,90.260414
3515.75,90.593,90.71193
3515.875,90.667,90.82684
3516.0,90.582,90.52427
3516.125,90.19,89.8391
3516.25,89.659,89.37533
3516.375,89.427,89.47492
3516.5,89.672,89.65148
3516.625,89.676,89.6027
3516.75,89.718,89.55095
3516.875,89.732,89.559715
3517.0,89.735,89.704
3517.125,89.768,89.73969
3517.25,89.861,89.81831
3517.375,89.865,89.83236
3517.5,89.868,89.714096
3517.625,89.872,89.67052
3517.75,89.917,89.62394
3517.875,89.983,89.43954
3518.0,89.914,89.15715
3518.125,89.799,89.06114
3518.25,89.566,89.36785
3518.375,89.424,89.292946
3518.5,89.375,88.646126
3518.625,89.315,88.48498
3518.75,89.319,88.50715
3518.875,89.322,88.79158
3519.0,89.243,89.59267
3519.125,89.039,89.468636
3519.25,88.804,89.43474
3519.375,88.808,89.12661
3519.5,88.811,88.98084
3519.625,88.814,88.89425
3519.75,88.489,88.38925
3519.875,88.106,88.02243
3520.0,88.076,87.80755
3520.125,88.162,87.863205
3520.25,88.19,87.91055
3520.375,88.21,87.94071
3520.5,88.252,87.937164
3520.625,88.253,87.98772
3520.75,88.072,88.33591
3520.875,88.074,88.40077
3521.0,88.043,88.05233
3521.125,87.395,87.34016
3521.25,86.788,87.242714
3521.375,86.874,86.98724
3521.5,86.877,86.8366
3521.625,86.881,86.76025
3521.75,86.884,86.89804
3521.875,86.867,86.73224
3522.0,86.963,87.05416
3522.125,87.36,87.31061
3522.25,87.363,87.481026
3522.375,87.366,87.23062
3522.5,87.37,87.446945
3522.625,87.373,87.4432
3522.75,87.38,87.30511
3522.875,87.399,87.34347
3523.0,87.4,87.45365
3523.125,87.403,87.530426
3523.25,87.479,87.75274
3523.375,87.575,87.79455
3523.5,87.573,87.45611
3523.625,87.518,87.36316
3523.75,87.444,87.464905
3523.875,87.431,87.41218
3524.0,87.435,87.437675
3524.125,87.422,87.394646
3524.25,87.426,87.313324
3524.375,87.504,87.225365
3524.5,87.524,87.18519
3524.625,87.527,87.449814
3524.75,87.53,87.31727
3524.875,87.534,87.36061
3525.0,87.537,87.470665
3525.125,88.065,88.13852
3525.25,88.438,88.567535
3525.375,88.588,88.565796
3525.5,88.591,88.650986
3525.625,88.593,88.65921
3525.75,88.56,88.72259
3525.875,88.55,88.82381
3526.0,88.517,88.64054
3526.125,88.476,88.34609
3526.25,88.446,88.24042
3526.375,88.389,88.42157
3526.5,88.388,88.349174
3526.625,88.182,87.864685
3526.75,88.209,88.61674
3526.875,88.467,88.71962
3527.0,88.471,88.70492
3527.125,88.474,88.58092
3527.25,88.477,88.581406
3527.375,88.645,88.68564
3527.5,88.619,88.32495
3527.625,88.09,87.97794
3527.75,87.315,87.2628
3527.875,87.105,87.0727
3528.0,87.486,87.75942
3528.125,87.721,87.79439
3528.25,87.622,87.74155
3528.375,87.503,87.81915
3528.5,87.5,87.7675
3528.625,87.438,87.698746
3528.75,87.375,87.63577
3528.875,87.342,87.49671
3529.0,87.345,87.44597
3529.125,87.349,87.429184
3529.25,87.352,87.57145
3529.375,87.217,87.3667
3529.5,87.145,87.39469
3529.625,87.231,87.64049
3529.75,87.439,87.80181
