depth,measured,predicted
3500.0,0.01,0.03220269
3500.125,0.01,0.026842264
3500.25,0.01,0.041610032
3500.375,0.01,0.004565089
3500.5,0.01,-0.002191515
3500.625,0.01,-0.003370018
3500.75,0.01,0.053450078
3500.875,0.01,0.05752924
3501.0,0.01,0.055993944
3501.125,0.01,0.023989467
3501.25,0.01,-0.024038227
3501.375,0.01,0.027360586
3501.5,0.01,-0.023602935
3501.625,0.01,-0.0341911
3501.75,0.01,0.013289957
3501.875,0.01,0.00043979177
3502.0,0.01,0.0050261905
3502.125,0.01,-0.015637966
3502.25,0.01,0.0064484766
3502.375,0.01,0.1994811
3502.5,0.01,0.019297866
3502.625,0.01,0.11771387
3502.75,0.01,0.048378617
3502.875,0.01,0.007254689
3503.0,0.01,0.038909346
3503.125,0.01,0.0045636585
3503.25,0.01,0.13252273
3503.375,0.01,0.100504726
3503.5,0.01,0.088840455
3503.625,0.01,-0.028076323
3503.75,0.01,0.009882956
3503.875,0.01,0.0022536207
3504.0,0.01,0.023693709
3504.125,0.01,0.029244332
3504.25,0.01,0.09514502
3504.375,0.01,0.065252334
3504.5,0.01,-0.011553437
3504.625,0.01,0.015384405
3504.75,0.01,-0.010691316
3504.875,0.01,-0.008628936
3505.0,0.01,0.018473653
3505.125,0.01,0.0110544255
3505.25,0.01,-0.088158876
3505.375,0.01,-0.019839855
3505.5,0.01,0.0042280843
3505.625,0.01,-0.01316771
3505.75,0.01,0.064961284
3505.875,0.01,0.027184693
3506.0,0.01,-0.09486219
3506.125,0.01,-0.039827615
3506.25,0.01,-0.044989735
3506.375,0.01,0.04772845
3506.5,0.01,-0.009053559
3506.625,0.01,-0.16271642
3506.75,0.01,-0.22086945
3506.875,0.01,0.008253484
3507.0,0.01,0.033114403
3507.125,0.01,-0.0072635124
3507.25,0.01,-0.0061163614
3507.375,0.01,-0.011789412
3507.5,0.01,-0.0036421728
3507.625,0.01,0.088403106
3507.75,0.01,-0.009084494
3507.875,0.01,0.36972854
3508.0,0.01,0.68151534
3508.125,0.01,0.07555255
3508.25,0.01,0.12596229
3508.375,0.01,0.0703477
3508.5,0.01,0.0051738312
3508.625,0.01,-0.041228563
3508.75,0.01,0.0380871
3508.875,0.01,0.08189204
3509.0,0.01,-0.018271537
3509.125,0.01,0.057020873
3509.25,0.01,0.07742581
3509.375,0.01,0.07596001
3509.5,0.01,0.044086188
3509.625,0.01,-0.004137487
3509.75,0.01,-0.0031288576
3509.875,0.01,-0.049982935
3510.0,0.01,-0.034523994
3510.125,0.01,-0.023589881
3510.25,0.01,-0.006448359
3510.375,0.01,0.026535241
3510.5,0.01,0.021879105
3510.625,0.01,-0.07406965
3510.75,0.01,0.06374493
3510.875,0.01,-0.02985272
3511.0,0.01,0.018349795
3511.125,0.01,-0.066777915
3511.25,0.01,0.029119281
3511.375,0.01,-0.009559722
3511.5,0.01,0.010303288
3511.625,0.01,-0.12945494
3511.75,0.01,-0.039482802
3511.875,0.01,-0.032644182
3512.0,0.01,0.009785323
3512.125,0.01,-0.050290257
3512.25,0.01,0.0075236848
3512.375,0.01,0.012551337
3512.5,0.01,0.016776709
3512.625,0.01,0.015759138
