model,well,target,R2
FMS-KAN,WellA,SHMAX,0.9954931654867547
FMS-KAN,WellA,TOC,0.9390059763995269
FMS-KAN,WellA,PERM,0.9041627960685731
FMS-KAN,WellB,SHMAX,0.9835453326959538
FMS-KAN,WellB,TOC,0.9935888065060183
FMS-KAN,WellB,PERM,0.9975693218084569
FMS-KAN,WellC,SHMAX,0.9945811014330271
FMS-KAN,WellC,TOC,0.9950744949323556
FMS-KAN,WellC,PERM,0.9913586755935018
FMS-KAN,WellD,SHMAX,0.9757356941851818
FMS-KAN,WellD,TOC,0.9944358863461805
FMS-KAN,WellD,PERM,0.9941950520956329
Std.KAN,WellA,SHMAX,0.7495601901101052
Poly.Reg,WellA,SHMAX,0.9600936131240589
Std.KAN,WellB,SHMAX,0.11199870755147456
Poly.Reg,WellB,SHMAX,0.6066697512766339
Std.KAN,WellC,SHMAX,0.1328780626697077
Poly.Reg,WellC,SHMAX,0.8381157902701948
Std.KAN,WellD,SHMAX,-11.898279119695665
Poly.Reg,WellD,SHMAX,0.3016113947849173
Std.KAN,WellA,TOC,0.37770261454872056
Poly.Reg,WellA,TOC,0.7896588050772134
Std.KAN,WellB,TOC,0.5650474344306132
Poly.Reg,WellB,TOC,0.8900161468064993
Std.KAN,WellC,TOC,0.6568740764683161
Poly.Reg,WellC,TOC,0.9352045083150685
Std.KAN,WellD,TOC,0.6429280927135446
Poly.Reg,WellD,TOC,0.9129600337334786
Std.KAN,WellA,PERM,-68294.69942740253
Poly.Reg,WellA,PERM,-10.415333639265116
Std.KAN,WellB,PERM,-3.743709134025874
Poly.Reg,WellB,PERM,0.7737611811736042
Std.KAN,WellC,PERM,-0.1314125313326857
Poly.Reg,WellC,PERM,0.6915833071970787
Std.KAN,WellD,PERM,-0.6529956442920573
Poly.Reg,WellD,PERM,0.4985351123594388
