DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4023.0,54.291,53.343,107.876,2.42,35.673,16.767,,0.1,0.906,6.509,9.875,0.458,129.868,,0.407
4023.1001,54.371,53.731,110.64,2.413,35.233,16.634,,0.1,0.875,6.602,9.915,0.461,128.318,,0.412
4023.2,54.415,54.103,113.017,2.399,34.904,16.391,,0.1,0.858,6.745,9.917,0.46,126.641,,0.42
4023.3,54.417,54.46,114.981,2.385,34.908,15.973,,0.1,0.863,6.943,9.863,0.49,124.816,,0.422
4023.3999,54.349,54.744,118.807,2.374,35.32,15.333,,0.1,0.895,7.164,9.76,0.458,123.079,,0.414
4023.5,54.202,55.05,121.896,2.366,35.876,14.642,,0.1,0.935,7.333,9.664,0.458,121.451,,0.404
4023.6001,53.997,55.39,123.861,2.36,36.333,14.21,,0.1,0.971,7.417,9.606,0.457,119.966,,0.403
4023.7,53.77,55.995,125.278,2.351,36.832,14.351,,0.1,1.008,7.397,9.598,0.426,118.526,,0.42
4023.8,53.556,56.856,126.123,2.34,37.785,14.959,,0.1,1.049,7.174,9.704,0.425,117.018,,0.45
4023.8999,53.406,58.087,126.123,2.326,39.178,15.557,,0.1,1.088,6.719,9.965,0.451,115.402,,0.48
4024.0,53.419,60.215,126.123,2.31,40.583,15.617,,0.1,1.11,6.191,10.311,0.456,113.623,,0.493
4024.1001,53.708,62.895,126.455,2.297,41.447,15.009,,0.1,1.117,5.804,10.61,0.442,111.918,,0.488
4024.2,54.243,66.368,127.451,2.288,41.713,14.226,,0.1,1.116,5.624,10.798,0.425,110.42,,0.476
4024.3,54.928,70.39,128.45,2.285,41.709,13.77,,0.1,1.118,5.521,10.936,0.456,109.438,,0.471
4024.3999,55.614,74.427,130.294,2.283,42.126,13.927,,0.1,1.119,5.445,11.068,0.456,108.732,,0.479
4024.5,56.317,78.216,134.288,2.279,43.486,14.627,,0.1,1.13,5.468,11.183,0.457,108.408,,0.506
4024.6001,57.341,80.721,136.512,2.268,46.036,15.906,,0.1,1.173,5.714,11.242,0.457,103.352,,0.56
4024.7,59.453,82.352,138.172,2.249,49.798,17.982,,0.1,1.283,6.433,11.175,0.457,98.31,,0.64
4024.8,62.802,82.477,139.837,2.229,54.05,20.782,,0.1,1.404,7.47,11.034,0.457,98.095,,0.738
4024.8999,67.014,81.76,142.207,2.218,58.095,24.186,,0.1,1.492,8.556,10.871,0.456,97.754,,0.84
4025.0,71.164,80.666,145.245,2.22,61.043,28.022,,0.1,1.518,9.352,10.762,0.456,94.089,,0.939
4025.1001,74.319,79.423,149.906,2.231,62.416,32.025,,0.1,1.523,9.877,10.682,0.458,76.274,,1.034
4025.2,76.057,78.504,153.231,2.247,62.119,35.827,,0.1,1.533,10.39,10.574,0.456,70.13,,1.109
4025.3,76.013,77.853,155.801,2.274,60.63,37.729,,0.1,1.54,11.066,10.407,0.455,72.06,,1.108
4025.3999,74.283,77.862,157.793,2.307,59.474,35.8,,0.1,1.541,11.768,10.233,0.456,87.454,,1.005
4025.5,71.495,78.204,159.791,2.345,60.181,30.937,,0.1,1.564,12.35,10.099,0.455,96.288,,0.823
