DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4150.0,186.8906,70.756,127.602,2.3617,82.6817,29.121,,,1.4205,8.8248,5.7739,0.488,119.419,,
4150.6,188.9429,70.7947,129.2342,2.3405,82.9615,29.7633,,,1.5297,7.7647,6.1411,0.5259,120.6095,,
4150.7,189.1948,70.8496,129.5279,2.333,85.2058,30.8477,,,1.5294,7.9086,6.1746,0.5259,120.8265,,
4150.8,189.5406,70.8808,129.7949,2.3343,87.5734,31.576,,,1.5131,8.1427,6.2034,0.5259,120.828,,
4151.2,191.5321,70.9584,130.1208,2.3397,85.5223,31.3275,,,1.4459,8.3776,6.0586,0.5258,121.0162,,
4151.4,191.9867,71.0068,129.7083,2.327,81.5214,31.4625,,49364.8438,1.5167,8.2834,5.6459,0.5257,120.7311,,
4151.7,191.4348,70.8995,128.7031,2.4734,82.2723,31.3266,,28139.8262,1.698,7.9832,5.2365,0.5257,120.1749,,
4152.2,191.9468,70.9416,127.6319,2.0637,81.5818,32.6036,6.5636,3.3318,1.7073,6.7236,5.7041,0.5315,118.867,,
4152.3,192.2747,70.5657,127.6662,2.2105,81.5182,32.5701,9.1526,4.6263,1.6492,6.5398,5.9006,0.5258,119.7307,,
4152.5,193.2081,70.3206,128.1369,2.4985,82.6698,33.3685,9.659,4.8795,1.5092,6.4538,6.2176,0.4964,120.249,,
4152.6,193.9221,70.2712,128.4888,2.5433,82.6453,33.7188,7.34,3.72,1.4427,6.6194,6.2879,0.5248,120.8052,,
4152.9,193.8354,70.8351,129.8024,2.5088,80.6086,32.5743,2.0519,1.0759,1.2624,7.9026,6.1791,0.5259,121.0026,,
4153.0,192.609,70.9088,130.1419,2.5227,81.1711,32.358,1.7352,0.9176,1.206,8.4805,6.0841,0.5259,121.2342,,
4153.1,191.3702,71.0069,130.4049,2.5692,81.8675,32.6446,1.6182,0.8591,1.1538,9.0982,5.973,0.502,121.2458,,
4153.2,190.7133,71.1291,130.5979,2.6216,82.0764,33.2622,1.5491,0.8246,1.1071,9.6689,5.8768,0.5192,121.2092,,
4153.3,190.6192,71.2258,130.633,2.6584,81.6825,33.7019,1.4804,0.7902,1.0734,10.0839,5.8161,0.5258,121.0591,,
4154.1,193.2972,71.1779,128.5675,2.6533,83.1611,32.3736,1.6731,0.8866,1.1732,12.5294,4.9415,0.4526,119.6453,,
4154.3,195.2163,71.1522,128.1662,2.6453,82.9712,29.6283,1.4713,0.7856,1.2421,12.9692,4.6148,0.4378,119.4222,,
4154.4,196.6569,71.0956,128.0863,2.6485,82.172,30.2442,1.2973,0.6986,1.2754,12.8722,4.5624,0.4378,119.4445,,
4154.5,198.158,70.966,128.1164,2.6532,81.5396,31.7799,1.1509,0.6255,1.3091,12.6523,4.5604,0.4378,119.446,,
4154.8,201.3247,70.6473,128.4305,2.6604,82.8317,33.5484,0.9655,0.5327,1.4001,11.4633,4.8409,0.4404,120.173,,
4154.9,201.9177,70.6478,128.5302,2.6592,83.8412,33.6376,0.951,0.5255,1.4194,10.9215,5.0169,0.4545,120.465,,
4155.1,203.0961,71.097,128.6028,2.6498,84.5996,34.7208,0.9832,0.5416,1.4366,10.1228,5.2936,0.4128,119.9087,,
4155.2,203.9687,71.1846,128.5727,2.6452,83.6953,34.8679,1.0546,0.5773,1.4304,9.8225,5.3996,0.4128,119.7649,,
4155.6,211.2399,71.1921,128.3219,2.6442,79.2413,34.9407,1.7252,0.9126,1.3623,8.5184,5.7035,0.4129,119.5166,,
4155.7,214.0064,71.1609,128.3587,2.6444,79.6989,35.6359,1.629,0.8645,1.3463,8.3246,5.7262,0.4129,119.5217,,
4155.8,217.2333,71.1138,128.4401,2.6452,79.7756,35.2826,1.3501,0.725,1.3352,8.1949,5.7238,0.4128,119.7085,,
4155.9,220.9129,71.1242,128.5937,2.6463,78.248,33.9304,0.9658,0.5329,1.3531,7.9415,5.681,0.3721,119.863,,
4156.1,229.4341,71.4684,128.9709,2.6477,71.4366,31.3357,0.3528,0.2264,1.4685,6.8374,5.4871,0.372,119.6573,,
4156.3,237.4845,71.6979,129.4468,2.6529,71.911,32.3417,0.1342,0.1171,1.5776,6.5764,5.382,0.3721,119.6306,,
4156.5,242.5261,72.074,129.9269,2.6605,86.229,34.0425,0.1105,0.1098,1.9679,8.4903,5.4278,0.3328,119.3943,,
4156.7,244.9802,72.7971,130.3075,2.6579,101.0456,32.0042,0.8905,0.7448,2.4072,10.122,5.6497,0.3329,118.8772,,
4156.9,246.0937,72.7741,130.3416,2.6526,104.703,27.3423,14.3398,11.1226,2.4535,9.884,6.0287,0.3329,118.459,,
4157.0,246.2532,71.8277,130.192,2.6523,103.8273,25.7697,25.727,20.0476,2.4512,9.6487,6.247,0.3329,120.1787,,
4157.2,245.5468,68.9371,129.3757,2.6475,103.6141,25.5673,33.7295,27.0247,2.4471,9.3298,6.6762,0.2956,122.5861,,
4157.3,244.7143,67.1767,128.7941,2.6409,105.5083,26.0902,27.5251,22.6809,2.424,9.2286,6.9816,0.2957,125.5219,,
4157.6,240.7414,64.1249,127.2809,2.6263,112.8563,21.5619,15.1365,13.8521,2.3272,9.7691,7.8967,0.2956,128.4568,,
4157.8,237.4704,64.0944,127.247,2.6167,113.723,20.006,16.7092,15.5744,2.2985,10.0862,8.121,0.2953,128.4599,,
4158.1,232.8553,66.7329,128.8391,2.5874,113.4242,24.6462,18.3307,17.0495,2.2046,10.2421,8.6627,0.2608,126.2948,0.01,10.0
4158.5,231.0407,71.2166,131.3545,2.5842,115.8343,25.3598,18.8451,17.4242,2.1149,9.7445,9.235,0.1957,121.6042,0.01,10.0
4158.7,232.6393,71.8832,131.9659,2.5797,115.5945,24.2326,18.4929,17.2357,2.1521,10.0742,8.9347,0.1957,121.3619,0.01,10.0
4158.8,233.6089,71.9348,132.1075,2.5773,115.2885,23.9023,18.2418,17.1025,2.2106,10.4395,8.5936,0.1957,121.4098,0.01,10.0
4158.9,234.496,71.9034,132.1882,2.5764,114.815,23.8256,18.0353,17.0068,2.2911,10.8747,8.1573,0.1957,121.416,0.01,10.0
4159.2,236.7661,71.8498,132.1523,2.5791,115.0032,25.5794,17.6778,16.6768,2.4346,12.081,7.1709,0.1664,121.547,0.01,10.0
4159.4,238.5463,71.7543,131.9472,2.5908,113.7172,27.4747,17.4131,16.2164,2.3361,12.7297,7.0861,0.1664,121.5257,0.01,10.0
4159.6,240.2116,71.5057,131.6463,2.6216,111.4765,28.0424,17.168,15.7536,2.1744,13.1889,7.2803,0.1664,121.6469,0.01,10.0
4159.7,240.7739,71.4955,131.4558,2.6344,111.5916,27.3859,17.0986,15.637,2.1007,13.3437,7.4067,0.1633,121.4631,0.01,10.0
4160.0,241.0027,71.3126,130.6937,2.6413,113.9928,26.0451,17.2737,15.8663,1.9334,13.7372,7.7355,0.0653,121.213,0.01,10.0
4160.1,240.6525,71.1461,130.36,2.6449,114.6499,26.3544,17.4641,16.1222,1.9408,13.6679,7.7628,0.0977,121.2134,0.01,10.0
4160.3,239.4134,70.6787,129.6338,2.6529,113.9252,26.0838,17.9012,16.659,2.0003,12.9408,7.8821,0.0648,121.2314,0.01,10.0
4160.5,237.4695,70.1611,129.0275,2.659,110.8284,25.4967,18.2848,17.0432,2.0561,11.2292,8.2486,0.0462,121.5834,0.01,10.0
4160.9,233.4755,70.1517,128.9903,2.694,112.0391,25.8437,18.3444,17.2997,2.0054,9.0771,8.8881,0.0633,121.652,0.01,10.0
4161.0,233.2141,70.3535,129.2173,2.7012,111.6648,25.55,18.1153,17.1801,1.9786,9.0463,8.9608,0.0461,121.4927,0.01,10.0
4161.2,233.8791,70.7252,129.8171,2.7054,110.9385,24.5015,17.3653,16.6245,1.9113,9.4392,9.0351,0.0621,121.3949,0.01,10.0
4161.4,235.3957,70.9102,130.3189,2.6984,112.033,23.1628,16.572,15.7649,1.8518,10.2176,8.9946,0.0652,121.5583,0.01,10.0
