DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4049.6,,51.1773,100.9924,2.586,,4.2446,,,,,,,,,
4050.3,,55.6347,111.7706,,,4.9553,,,,,,,,,
4050.4,,56.4283,113.1925,,,5.1437,,,,,,,,,
4050.8,,58.5439,118.0173,,,6.2333,,,,,,,,,
4050.9,,58.698,118.1573,,,6.7506,,,,,,,,,
4051.0,,58.7891,117.9185,,,7.3577,,,,,,,,,
4051.3,,58.7526,114.8723,,,8.77,,,,,,,,,
4051.4,,58.3885,113.2103,,,9.0018,,,,,,,,,
4051.8,,54.2693,105.443,,40.8642,9.3542,,,,,,,,,
4051.9,,53.2525,104.0193,,41.741,9.5384,,,,,,,,,
4052.1,,53.1156,104.0655,,42.6664,9.4678,,,,,,,,,
4052.2,,53.6558,104.7416,,42.9392,8.769,,,0.7947,2.9324,3.3138,,,,
4052.5,,55.2422,107.8557,,40.9766,5.8813,,,0.8522,3.4575,2.6942,,,,
4052.6,,55.3574,108.4746,,39.6146,5.5169,,,0.8664,3.597,2.4778,,,,
4052.7,,55.425,108.8916,2.8601,38.3919,5.5805,,,0.868,3.6254,2.3771,,,,
4053.5,,54.3876,104.8517,2.2151,38.1298,7.4419,,,0.7313,1.9547,3.2695,,,,
4053.6,,53.6605,104.2445,,38.0715,7.8293,,,0.7232,1.7994,3.3425,,,,
4054.4,,55.4668,112.5223,,38.4606,6.795,,,0.7614,1.6004,3.425,22.5313,,,
4054.6,,57.6436,115.4449,,39.9022,6.6103,,,0.7673,1.664,3.5185,22.5339,,,
4054.7,,58.4563,115.9354,,40.7194,6.5383,,,0.7697,1.7483,3.5258,22.5779,,,
4054.8,,59.0526,115.9085,3.2993,41.0116,6.5501,,,0.7829,1.9085,3.4601,22.5798,,,
4055.1,185.181,58.1279,112.7463,,38.7238,7.7982,,,0.8874,2.6168,2.9721,22.567,,,
4055.2,186.448,57.3951,111.8622,,38.2604,8.5267,,,0.931,2.6805,2.8484,22.5771,,,
4055.4,186.675,56.1513,111.2712,3.2368,38.8513,9.4756,,,1.0132,2.6357,2.6814,22.5814,,,
4055.5,186.675,56.1328,112.0477,3.1738,39.469,9.559,,,1.0411,2.5028,2.6616,22.6122,,,
4055.9,181.196,58.1199,115.4673,3.1256,41.5735,8.5772,,,1.0276,1.8416,2.8222,22.6147,,,
4056.0,181.196,58.6015,115.1353,3.1718,41.1237,8.085,,,0.9928,1.85,2.829,22.6102,,,
4056.1,181.196,58.4317,113.7775,3.2082,40.5053,7.8348,,,0.9584,1.8992,2.8141,22.6284,,,
4056.2,181.196,57.9373,112.0826,3.214,40.1452,8.0338,,,0.9308,1.9638,2.7783,22.6768,,,
4056.4,181.196,55.9734,108.5031,3.1146,39.9503,10.2738,,,0.8894,2.1497,2.644,22.6619,,,
4056.6,182.69,54.4105,106.7615,2.9874,38.1609,13.5412,,,0.8456,2.4357,2.4542,22.6493,,,
4056.8,184.184,54.6423,106.8065,2.9429,36.1088,13.4141,,,0.823,2.6842,2.3559,22.6973,,,
4057.0,186.674,55.7836,107.044,2.9393,36.3535,10.3202,,,0.8025,2.8359,2.3845,22.6965,,,
4057.2,188.265,56.3367,106.2776,2.9103,37.5607,7.8072,,,0.7934,2.8206,2.4803,22.7325,,,
4057.3,189.773,56.2223,105.3587,2.887,37.6016,7.1093,,,0.7903,2.6667,2.5662,22.7275,,,
4057.5,190.66,55.2014,102.6107,2.8597,37.041,6.7422,,,0.7752,2.2223,2.769,22.7091,,,
4057.6,190.66,54.3163,100.9752,2.8631,36.9697,7.0228,,,0.7696,2.0305,2.833,22.7025,,,
4057.9,190.24,51.695,97.1972,2.9214,35.6567,8.7046,,,0.7564,1.689,2.8705,22.7407,,,
4058.3,185.882,51.6041,97.0274,3.0122,35.297,6.4165,,,0.8229,2.1076,2.5221,22.7792,,,
4058.7,181.196,51.6403,96.3796,2.8655,37.6757,5.3691,,,0.9249,2.1805,2.2819,22.8132,,,
4058.8,181.196,51.4094,95.8541,2.8577,37.2736,5.3814,,,0.9358,2.0339,2.2956,22.8264,,,
4058.9,181.196,51.1137,95.2085,2.8682,36.6342,5.3108,,,0.9408,1.883,2.3175,22.8515,,,
4059.0,181.196,50.9837,94.4465,2.8838,36.0848,5.2025,,,0.9454,1.7552,2.3351,22.8666,,,
4059.1,181.196,50.9676,93.6716,2.8942,35.6404,5.1472,,,0.9527,1.6375,2.3496,22.8581,,,
4059.6,184.184,51.0841,91.248,2.831,35.4045,5.4666,,,0.9606,1.6534,2.4115,22.8877,,,
4059.9,181.045,49.8206,91.5643,2.7365,36.5778,5.483,,,0.9411,1.752,2.3852,22.8743,,,
4060.2,181.1937,48.8998,91.1803,2.6664,33.9527,5.4367,,,0.9044,1.743,2.3654,22.9225,,,
4060.3,180.4214,48.9701,91.0036,2.6652,33.602,5.4889,,,0.894,1.701,2.384,22.9238,,,
4060.5,180.2019,50.9475,91.0336,2.6866,33.4262,5.9153,,,0.8607,1.6488,2.4481,22.9352,,,
4060.7,181.196,53.6072,91.1865,2.7002,33.7893,6.479,,,0.8003,1.8015,2.5213,22.9409,,,
4060.8,181.196,54.217,91.2482,2.7029,33.6728,6.6115,,,0.7698,1.8763,2.5507,22.9753,,,
4061.1,182.69,52.7458,91.3442,2.6934,33.1642,6.0848,,,0.7132,1.9147,2.5704,22.9915,,,
4061.2,182.69,51.8023,91.2831,2.6761,33.2763,5.7311,,,0.703,1.9295,2.5391,22.9637,,,
4061.4,182.69,51.1127,90.9469,2.6374,33.2335,5.1025,,,0.6917,1.9058,2.454,22.9842,,,
4061.6,182.69,50.9471,90.5474,2.6065,32.0989,4.6881,,,0.7003,1.7793,2.3261,22.9849,,,
4061.8,182.69,50.6818,90.251,2.5849,30.6511,4.3211,,,0.7056,1.7331,2.2679,23.0434,,,
4062.1,185.1928,50.119,91.5505,2.5688,32.1641,3.8689,,,0.7153,1.6881,2.3556,23.0333,,,
4062.3,185.181,50.298,91.8664,2.5716,33.6727,3.821,,,0.7594,1.6949,2.3361,23.0359,,,
4062.4,185.181,50.4739,91.5939,2.5746,33.6572,3.9069,,,0.8003,1.7093,2.2625,23.0544,,,
4062.6,185.181,50.3658,90.5662,2.5604,32.693,4.0297,,,0.8914,1.7771,2.0676,23.0824,,,
4062.7,185.1671,50.2881,90.1006,2.548,32.521,3.985,,,0.922,1.8047,1.9982,23.061,,,
4063.1,182.69,51.4358,90.0,2.5291,33.1278,4.5371,,,0.8791,1.7771,2.139,23.0622,,,
4063.7,188.169,57.3461,90.852,2.4797,32.2709,4.8945,,,0.7034,1.1023,2.7868,23.0893,,,
4063.8,188.169,57.9113,90.9104,2.5045,32.1898,4.6066,,,0.7074,1.0581,2.8045,23.0572,,,
4064.2,185.2316,56.3148,94.9975,3.0699,33.5494,5.0621,,,0.7054,1.4968,2.7147,23.1535,,,
4064.3,184.8855,55.5454,96.5862,3.1647,33.645,4.8912,,,0.7069,1.6989,2.6424,23.1535,,,
4064.4,184.217,54.7223,97.8843,3.1235,33.3766,4.5058,,,0.7157,1.9179,2.5369,23.1639,,,
4064.5,185.1017,53.9165,97.7476,2.956,32.9766,4.0889,,,0.7354,2.1298,2.404,23.1711,,,
4064.7,188.7063,52.9732,95.5488,2.5731,32.6877,3.7796,,,0.8072,2.4403,2.0922,23.1884,,,
4065.2,189.0191,54.385,91.2176,2.4746,33.1308,4.9666,,,0.9857,2.6254,1.7427,23.1837,,,
4065.3,187.5427,54.199,91.1874,2.4701,34.2313,5.1524,,,0.9844,2.6456,1.8402,23.1455,,,
4065.4,186.677,53.9168,91.2669,2.4542,35.5946,5.2862,,,0.9687,2.6383,1.9667,23.1859,,,
4065.5,186.831,53.7162,91.3611,2.4384,36.6391,5.3399,,,0.9479,2.6082,2.0724,23.1955,,,
4065.8,189.166,53.7944,91.6197,2.4695,35.4495,4.8641,,,0.8557,2.5745,2.2584,23.2343,,,
4066.0,189.2314,53.0024,91.8873,2.5044,33.3008,4.3869,,,0.8033,2.6684,2.2412,23.2342,,,
4066.1,190.507,52.2446,92.1627,2.5106,32.8003,4.2626,,,0.8004,2.7574,2.1813,23.2453,,,
4066.5,188.9795,50.2965,94.5515,2.4748,34.9203,4.7793,,,0.8803,3.2532,1.8164,23.2505,,,
4066.6,188.169,50.3344,95.236,2.4705,35.466,5.0179,,,0.8924,3.2184,1.8254,23.2525,,,
4066.9,186.6148,50.4918,96.4442,2.499,36.1374,5.5017,,,0.8717,2.7574,2.1395,23.301,,,
4067.1,185.181,50.4736,96.2401,2.5143,36.31,5.845,,,0.7881,2.3279,2.5675,23.297,,,
4067.3,185.1809,50.4654,95.2294,2.4998,36.2828,6.0483,,,0.7114,2.0276,2.9535,23.2955,,,
4067.6,184.1841,50.6072,93.2426,2.4668,36.4115,5.9337,,,0.7258,1.9469,3.1563,23.3025,,,
4067.7,184.2477,50.5714,92.9664,2.4587,37.0377,5.8908,,,0.7666,2.0259,3.1152,23.3158,,,
4067.8,185.1801,50.4552,92.9317,2.4526,37.7695,5.8702,,,0.8129,2.1123,3.0532,23.3245,,,
4067.9,185.181,50.2555,93.1462,2.4476,38.3334,5.8863,,,0.8486,2.1681,3.0061,23.3598,,,
4068.0,185.181,50.1874,93.7011,2.4436,38.6721,5.9243,,,0.8748,2.1947,2.98,23.3404,,,
4068.1,185.1811,50.2951,94.2719,2.4425,38.9317,5.9681,,,0.8932,2.1893,2.9851,23.3627,,,
4068.2,185.2584,50.618,94.8484,2.4466,39.395,5.9654,,,0.8956,2.1537,3.0338,23.3807,,,
4068.6,186.6735,51.2517,95.6202,2.4433,41.2351,5.5218,,,0.827,2.4617,3.1487,23.394,,,
4068.7,186.5492,51.1201,95.7843,2.4343,41.1814,5.6827,,,0.815,2.6992,3.0805,23.3708,,,
4068.8,185.181,51.0526,96.0667,2.4353,41.1326,5.9432,,,0.8071,2.9456,2.9867,23.3946,,,
4069.0,185.1076,51.5541,96.4689,2.4752,40.9008,6.398,,,0.8211,3.3751,2.7184,23.4248,,,
4069.1,184.184,52.0399,96.3986,2.4993,40.5554,6.4249,,,0.8394,3.5221,2.5846,23.4193,,,
4069.5,184.184,52.8839,94.2986,2.4947,39.9514,6.7825,,,0.8667,3.535,2.5039,23.4025,,,
4069.7,185.181,51.7077,93.369,2.4775,40.8941,7.5926,,,0.8109,3.3599,2.7998,23.4428,,,
4069.8,185.2722,51.1639,93.2112,2.4794,41.406,7.6212,,,0.7704,3.2992,2.9798,23.4507,,,
4069.9,186.3469,50.7819,93.2501,2.4873,41.713,7.3226,,,0.7378,3.2349,3.14,23.4537,,,
4070.2,188.169,51.7935,96.611,2.554,41.5691,6.1953,,,0.7084,2.8865,3.5469,23.5129,,,
4070.6,188.169,52.9799,107.9093,2.5656,43.1739,6.1943,11.7876,9.5856,0.8038,2.367,3.8759,23.4924,,,
4071.1,185.181,53.0768,113.8639,2.4914,48.9011,5.5382,11.7878,9.5865,0.9309,2.3614,4.3498,23.3568,,,
4071.3,185.181,55.2451,116.7371,2.516,48.615,6.01,11.787,9.5867,0.9699,2.5788,4.459,23.4215,,,
4071.4,185.2866,56.9001,118.7561,2.5326,50.4412,6.6928,11.787,9.5867,1.0727,3.0993,4.4438,23.4323,,,
4071.5,186.2065,59.203,121.9819,2.5365,53.5637,7.8662,11.7877,9.5867,1.2077,3.7574,4.3821,23.4003,,,
4071.7,185.181,64.2704,129.9931,2.511,61.1112,11.7904,11.7906,9.5862,1.5026,5.1162,4.1469,23.428,,,
4072.0,185.181,70.4163,141.7367,2.5158,73.4882,20.1584,11.7925,9.5838,1.8309,7.6484,4.049,23.4422,,,
4072.1,185.181,71.596,143.835,2.5292,76.751,23.1278,11.794,9.5827,1.8086,7.9177,4.2125,23.4425,,,
4072.2,185.181,72.5302,145.1804,2.5359,78.2914,25.4294,11.7965,9.5811,1.7581,7.9781,4.4,23.4371,,,
4072.3,185.181,73.1448,145.4076,2.5333,78.2506,26.4932,11.8012,9.5776,1.6944,7.978,4.6042,23.4405,,,
4072.4,185.181,73.5766,144.8115,2.522,77.691,26.3928,48.4738,9.5561,1.6473,7.9654,4.7838,23.4423,,,
4072.5,185.3634,73.9221,143.8384,2.5062,77.9235,25.7234,678.0911,9.4233,1.6115,7.8789,4.9666,23.4433,,,
4072.9,188.169,73.9481,137.5137,2.4642,79.4922,23.7494,,3.5209,1.6377,7.0167,5.057,23.425,,,
4073.0,188.169,73.38,136.2019,2.4788,77.9192,22.4444,,1.6913,1.677,6.8345,4.9231,23.4563,,,
4073.2,186.675,71.5798,134.5941,2.5133,74.1764,21.6537,,0.1791,1.7403,6.5044,4.6098,23.4416,,,
4073.3,186.5623,70.63,134.4698,2.5215,71.7952,23.6282,,0.1031,1.7631,6.3291,4.4454,23.4395,,,
4073.4,185.5888,69.7713,134.5985,2.5217,69.6872,27.1653,,0.1035,1.7784,6.226,4.3456,23.4456,,,
4073.6,185.1111,69.055,134.9856,2.5076,70.888,34.9434,,0.1038,1.8449,6.4921,4.5157,23.447,,,
4074.0,182.8405,69.984,136.7728,2.506,91.4653,36.7514,,0.1059,1.9328,7.5304,6.5625,23.466,,,
4074.1,184.0471,69.6397,137.4571,2.4955,94.402,37.7578,,0.1067,1.9248,7.5067,6.7053,23.4683,,,
4074.2,184.7043,69.4313,138.0338,2.4758,96.0588,39.0817,,0.1064,1.9185,7.4828,6.7907,23.4832,,,
4074.3,187.5613,69.3683,138.4957,2.4551,96.4992,40.4755,,0.1053,1.9135,7.4777,6.8186,23.5007,,,
4074.6,197.6736,72.6455,137.3913,2.4331,92.055,41.276,,0.1029,1.9123,7.7916,6.2283,23.5133,,,
4074.9,228.3903,76.5333,136.0639,2.4217,85.6561,27.3464,,0.1031,1.9603,8.2018,5.2422,23.5224,,,
4075.0,232.6934,77.0066,136.5336,2.4338,84.4938,24.2428,,0.1025,1.9923,8.2336,5.0271,23.5429,,,
4075.4,225.1463,78.2835,139.9337,2.4802,78.1181,19.9795,43930.2383,0.1008,2.2582,7.7252,4.3153,23.6031,,,
4075.5,226.4025,78.6947,140.432,2.4032,78.2498,19.42,21970.8535,0.1003,2.3206,7.9435,4.2717,23.6139,,,
4075.7,239.429,78.9359,140.8231,2.5205,88.7851,19.5173,1542.6453,0.1011,2.5962,10.288,4.5734,23.6082,,,
4075.9,261.4962,79.2935,141.3922,2.6887,106.0576,22.1088,42.2029,0.3196,2.8223,12.0208,5.3799,23.6043,,,
4076.0,273.2316,79.3641,142.0909,2.6931,111.814,23.8005,626.2101,1.6148,2.8582,12.0909,5.5334,23.5991,,,
4076.1,283.6844,79.37,143.2408,2.6675,114.4353,25.022,3381.1045,5.599,2.8814,12.0576,5.5632,23.6118,,,
