DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
3500.0,66.709,66.38,118.088,2.683,160.727,19.635,27.438,24.407,3.592,16.548,6.782,4.224,91.265,0.01,10.0
3500.125,66.826,66.475,118.152,2.69,161.763,19.661,27.468,24.483,3.753,16.786,6.337,4.224,91.193,0.01,10.0
3500.25,67.058,66.505,118.156,2.697,161.863,19.355,27.65,24.706,3.916,17.539,5.712,4.212,91.142,0.01,10.0
3500.375,67.321,66.527,118.156,2.695,161.381,18.962,27.925,25.031,4.054,18.746,4.976,4.222,91.111,0.01,10.0
3500.5,67.66,66.581,118.16,2.685,160.764,18.724,28.226,25.384,4.145,20.045,4.308,4.303,91.066,0.01,10.0
3500.625,68.126,66.655,118.208,2.68,160.885,18.607,28.546,25.733,4.201,21.102,3.806,4.222,90.952,0.01,10.0
3500.75,68.586,66.712,118.374,2.685,161.866,18.497,28.931,26.091,4.203,21.8,3.6,4.263,91.011,0.01,10.0
3500.875,68.553,66.948,118.744,2.696,162.055,18.419,29.422,26.505,4.135,22.128,3.698,4.221,90.998,0.01,10.0
3501.0,67.87,67.018,118.802,2.704,160.857,18.64,30.005,26.972,4.046,22.133,4.038,4.237,90.952,0.01,10.0
3501.125,67.057,67.038,118.823,2.705,159.066,19.258,30.554,27.383,3.973,21.941,4.372,4.252,90.923,0.01,10.0
3501.25,66.366,67.145,118.877,2.702,158.263,19.88,30.914,27.637,3.916,21.518,4.627,4.221,90.91,0.01,10.0
3501.375,65.773,67.373,118.946,2.701,158.377,20.02,30.96,27.646,3.868,20.99,4.856,4.26,90.617,0.01,10.0
3501.5,65.718,67.488,118.946,2.703,157.551,19.699,30.719,27.424,3.843,20.686,4.973,4.226,90.438,0.01,10.0
3501.625,66.328,67.778,118.965,2.707,155.524,19.169,30.338,27.11,3.839,20.686,4.959,4.242,90.112,0.01,10.0
3501.75,66.821,67.998,118.988,2.71,153.692,18.601,29.985,26.875,3.82,20.632,4.952,4.242,89.768,0.01,10.0
3501.875,67.0,68.123,119.517,2.717,153.333,18.13,29.771,26.799,3.785,20.394,5.089,4.263,89.726,0.01,10.0
3502.0,67.138,68.273,120.198,2.724,154.773,18.016,29.688,26.816,3.744,20.054,5.344,4.263,90.444,0.01,10.0
3502.125,67.306,68.596,120.201,2.725,158.4,18.304,29.654,26.763,3.696,19.737,5.656,4.27,89.952,0.01,10.0
3502.25,67.623,68.675,120.201,2.716,163.97,18.68,29.574,26.571,3.653,19.475,5.937,4.244,89.76,0.01,10.0
3502.375,68.156,68.719,120.201,2.703,167.979,18.916,29.422,26.311,3.629,19.171,6.161,4.272,89.682,0.01,10.0
